Benchmark,Max_MPI_(%),Min_MPI_(%),MPI_(%),MPI_Imb_(%),Max_Imb_(%),Min_Imb_(%),MPI_Time,MPI_Wait,MPI_Sendrecv,MPI_Bcast,MPI_Cart_get,MPI_Cart_shift,MPI_Alltoallv,MPI_Waitany,MPI_Init,MPI_Allreduce,MPI_Comm_size,MPI_Comm_dup,MPI_Reduce,MPI_Send,MPI_Cart_create,MPI_Alltoall,MPI_Barrier,MPI_Finalize,MPI_Irecv,MPI_Comm_free,MPI_Cart_rank,MPI_Comm_rank,MPI_Allgather,Processes,Size
in.rhodo-double,0.48,0.48,0.48,0.0,0.0,0.0,0.09,0.0,0.0,0.73,0.0,0.0,45.47,0.0,51.67,0.74,0.0,1.05,0.0,0.0,0.12,0.13,0.04,0.0,0.0,0.01,0.0,0.01,0.01,1.0,2048.0
in.rhodo-double,19.79,14.62,17.32,3.94,4.08,3.78,2.35,1.8,1.03,19.91,0.0,0.0,8.75,0.0,49.1,11.32,0.0,0.05,0.0,0.22,0.86,5.6,1.35,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2048.0
in.rhodo-double,54.17,7.84,30.81,29.35,53.41,4.93,369.56,60.14,2.51,0.51,0.0,0.0,0.01,2.61,0.31,18.75,0.0,0.0,0.0,14.83,0.02,0.18,0.08,0.01,0.02,0.0,0.0,0.0,0.01,4.0,2048.0
in.rhodo-double,53.23,7.06,41.64,39.67,52.03,3.0,498.84,66.07,2.73,1.67,0.0,0.0,0.08,2.96,0.61,19.6,0.0,0.04,0.0,5.87,0.02,0.15,0.14,0.0,0.01,0.0,0.0,0.0,0.05,8.0,2048.0
in.rhodo-double,55.85,12.13,49.8,47.01,53.22,4.82,636.14,46.98,1.6,1.29,0.0,0.0,0.33,21.17,1.61,21.34,0.0,0.0,0.0,5.1,0.04,0.39,0.1,0.02,0.02,0.0,0.0,0.0,0.0,16.0,2048.0
in.rhodo-double,60.24,20.91,56.59,51.53,54.87,7.34,819.97,31.56,0.9,7.5,0.0,0.0,1.58,27.88,4.53,22.99,0.0,0.06,0.0,1.9,0.18,0.48,0.2,0.07,0.02,0.0,0.0,0.0,0.13,32.0,2048.0
in.rhodo-double,65.53,27.31,59.22,47.71,49.94,7.37,1076.68,30.17,0.83,2.14,0.0,0.0,2.08,22.42,13.49,26.56,0.0,0.01,0.0,0.94,0.16,0.89,0.24,0.04,0.03,0.0,0.0,0.0,0.0,64.0,2048.0
in.rhodo-single,0.11,0.11,0.11,0.0,0.0,0.0,0.08,0.0,0.0,0.2,0.0,0.0,1.41,0.0,68.04,5.09,0.0,0.68,0.02,0.0,0.08,0.03,0.05,23.02,0.0,1.37,0.0,0.0,0.01,1.0,32.0
in.rhodo-single,28.2,21.51,24.84,10.7,11.1,10.29,23.99,54.95,2.95,4.51,0.0,0.0,0.11,4.33,4.89,23.4,0.0,0.01,0.0,4.78,0.0,0.0,0.0,0.05,0.01,0.0,0.0,0.0,0.0,2.0,32.0
in.rhodo-single,67.57,40.98,57.35,40.36,63.26,16.16,68.88,55.09,4.06,1.31,0.0,0.0,0.0,22.34,1.81,13.67,0.0,0.0,0.0,1.63,0.0,0.0,0.0,0.05,0.02,0.0,0.0,0.0,0.01,4.0,32.0
in.rhodo-single,74.85,50.23,68.53,56.6,68.1,22.23,106.8,46.28,1.03,8.62,0.0,0.0,0.01,16.41,2.99,23.59,0.0,0.01,0.0,0.47,0.0,0.07,0.16,0.32,0.03,0.0,0.0,0.0,0.0,8.0,32.0
in.rhodo-single,81.98,66.54,78.79,65.62,72.04,24.91,173.13,23.92,0.38,12.59,0.0,0.0,0.01,20.71,5.95,35.42,0.0,0.01,0.0,0.6,0.01,0.15,0.0,0.03,0.04,0.0,0.0,0.0,0.19,16.0,32.0
in.rhodo-single,88.06,66.22,84.94,67.13,71.15,26.41,303.0,19.59,2.11,13.26,0.0,0.0,1.43,29.91,12.17,19.66,0.0,0.02,0.0,0.55,0.01,0.66,0.42,0.04,0.05,0.0,0.0,0.0,0.13,32.0,32.0
in.rhodo-single,92.11,72.46,88.49,56.61,59.05,22.95,513.86,12.31,0.62,2.67,0.0,0.0,4.91,23.94,28.39,24.57,0.0,0.02,0.0,0.65,0.01,0.98,0.74,0.11,0.07,0.0,0.0,0.0,0.01,64.0,32.0
in.rhodo-single,0.08,0.08,0.08,0.0,0.0,0.0,0.09,0.0,0.0,0.21,0.0,0.0,2.99,0.0,66.76,2.45,0.0,0.22,0.59,0.0,0.13,0.06,0.06,24.68,0.0,1.83,0.0,0.01,0.02,1.0,256.0
in.rhodo-single,15.07,14.47,14.78,6.3,6.61,5.99,17.41,26.21,1.62,5.91,0.0,0.0,0.37,8.44,6.82,33.15,0.0,0.01,0.0,15.86,0.16,1.17,0.17,0.1,0.01,0.0,0.0,0.0,0.0,2.0,256.0
in.rhodo-single,59.9,20.48,40.69,34.57,57.43,9.85,53.55,44.13,2.75,3.63,0.0,0.0,0.07,7.76,2.22,31.47,0.0,0.01,0.0,6.61,0.31,0.5,0.46,0.07,0.01,0.0,0.0,0.0,0.0,4.0,256.0
in.rhodo-single,64.62,28.74,56.3,49.03,60.79,13.86,87.29,45.76,2.23,6.76,0.0,0.0,0.02,9.4,3.46,30.94,0.0,0.01,0.0,1.22,0.01,0.14,0.01,0.03,0.01,0.0,0.0,0.0,0.0,8.0,256.0
in.rhodo-single,71.01,40.1,64.91,53.9,60.49,15.48,121.65,30.62,2.02,12.26,0.0,0.0,0.82,17.38,8.53,25.81,0.0,0.01,0.0,0.91,0.38,0.89,0.01,0.24,0.02,0.0,0.0,0.0,0.12,16.0,256.0
in.rhodo-single,82.78,63.06,78.71,61.03,65.18,21.97,246.2,17.7,1.67,21.48,0.0,0.0,9.33,14.61,14.95,16.66,0.0,0.02,0.0,0.47,0.29,1.51,1.23,0.06,0.02,0.0,0.0,0.0,0.01,32.0,256.0
in.rhodo-single,90.42,73.36,85.34,53.09,55.61,20.95,459.8,10.61,0.97,9.63,0.0,0.0,3.57,13.64,31.83,24.85,0.0,0.73,0.0,0.43,1.02,1.06,0.45,0.47,0.03,0.0,0.0,0.0,0.7,64.0,256.0
in.rhodo-single,0.03,0.03,0.03,0.0,0.0,0.0,0.1,0.0,0.0,0.2,0.0,0.0,22.09,0.0,49.46,2.9,0.0,0.2,0.55,0.0,0.12,0.08,0.04,22.13,0.0,2.21,0.0,0.01,0.01,1.0,864.0
in.rhodo-single,8.37,7.31,7.84,3.43,3.83,3.03,29.53,23.92,2.33,10.42,0.0,0.0,1.02,14.32,3.96,27.83,0.0,0.01,0.0,14.8,0.15,0.71,0.43,0.1,0.01,0.0,0.0,0.0,0.0,2.0,864.0
in.rhodo-single,54.93,10.11,32.54,29.74,53.62,4.65,127.16,54.48,3.78,4.21,0.0,0.0,0.05,4.09,0.98,21.8,0.0,0.0,0.0,10.14,0.02,0.25,0.09,0.07,0.03,0.0,0.0,0.0,0.02,4.0,864.0
in.rhodo-single,57.52,16.44,47.16,43.19,55.26,7.64,198.21,54.0,4.62,4.27,0.0,0.0,0.01,6.42,1.53,22.26,0.0,0.0,0.0,6.18,0.08,0.35,0.15,0.01,0.01,0.0,0.0,0.0,0.1,8.0,864.0
