Benchmark,Max_MPI_(%),Min_MPI_(%),MPI_(%),MPI_Imb_(%),Max_Imb_(%),Min_Imb_(%),MPI_Time,MPI_Allreduce,MPI_Send,MPI_Bcast,MPI_Reduce,MPI_Comm_free,MPI_Allgather,MPI_Finalize,MPI_Wait,MPI_Comm_size,MPI_Init,MPI_Comm_dup,MPI_Comm_rank,MPI_Reduce_scatter,MPI_Scan,MPI_Sendrecv,MPI_Irecv,MPI_Cart_shift,MPI_Waitany,MPI_Cart_get,MPI_Cart_rank,MPI_Cart_create,MPI_Alltoall,MPI_Barrier,MPI_Alltoallv,Processes,Size
in.chute-long,4.4,2.12,3.31,1.51,2.59,0.26,17.8,46.96,13.84,0.99,0.0,0.0,0.0,0.04,21.76,0.0,15.5,0.0,0.0,0.0,0.0,0.59,0.31,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,4.0,2048.0
in.chute-long,6.46,3.79,5.11,2.11,3.35,0.37,28.97,43.5,9.22,1.29,0.0,0.0,0.0,0.04,17.4,0.0,27.56,0.0,0.0,0.0,0.0,0.57,0.4,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,8.0,2048.0
in.chute-long,8.94,5.84,7.31,1.91,3.19,0.79,44.47,32.15,11.31,1.84,0.0,0.0,0.0,0.09,19.12,0.0,34.52,0.0,0.0,0.01,0.0,0.48,0.43,0.0,0.0,0.0,0.0,0.03,0.0,0.02,0.0,16.0,2048.0
in.chute-long,17.8,11.84,14.75,2.43,5.44,0.61,109.06,25.94,6.34,1.33,0.0,0.0,0.0,0.12,11.94,0.0,53.62,0.0,0.0,0.01,0.0,0.29,0.39,0.0,0.0,0.0,0.0,0.02,0.0,0.01,0.0,32.0,2048.0
in.chute-long,34.0,23.8,28.76,4.59,9.56,1.09,280.18,23.11,3.79,0.66,0.0,0.0,0.0,0.18,10.32,0.0,61.06,0.0,0.0,0.0,0.0,0.49,0.37,0.0,0.0,0.0,0.0,0.02,0.0,0.01,0.0,64.0,2048.0
in.eam-long,7.01,5.97,6.59,0.08,0.13,0.06,8.71,1.05,15.84,0.39,0.01,0.0,0.0,0.06,50.39,0.0,30.31,0.0,0.0,0.0,0.0,1.09,0.84,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,4.0,32.0
in.eam-long,13.36,9.57,11.02,0.12,0.19,0.03,15.58,0.95,11.56,0.97,0.0,0.0,0.0,0.08,47.16,0.0,36.8,0.0,0.0,0.0,0.0,1.36,1.1,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,8.0,32.0
in.eam-long,28.26,22.25,24.95,0.18,0.35,0.03,43.65,0.98,6.31,0.54,0.0,0.0,0.0,0.08,35.92,0.0,54.71,0.0,0.0,0.0,0.01,0.75,0.66,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,16.0,32.0
in.eam-long,49.06,38.55,42.43,0.51,0.69,0.26,110.62,1.58,3.87,0.59,0.0,0.0,0.0,0.11,39.78,0.0,52.91,0.0,0.0,0.0,0.0,0.6,0.53,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,32.0,32.0
in.eam-long,68.55,57.12,60.6,0.59,0.94,0.21,243.38,1.72,2.8,0.14,0.0,0.0,0.0,0.19,23.75,0.0,69.96,0.0,0.0,0.0,0.01,0.62,0.51,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,64.0,32.0
in.eam-long,3.4,2.04,2.44,0.08,0.11,0.02,24.78,1.9,19.5,0.19,0.0,0.0,0.0,0.03,58.09,0.0,12.91,0.0,0.0,0.0,0.0,6.88,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,256.0
