Benchmark,Max_MPI_(%),Min_MPI_(%),MPI_(%),MPI_Imb_(%),Max_Imb_(%),Min_Imb_(%),MPI_Time,MPI_Irecv,MPI_Bcast,MPI_Reduce,MPI_Cart_get,MPI_Scan,MPI_Finalize,MPI_Wait,MPI_Comm_free,MPI_Init,MPI_Barrier,MPI_Allreduce,MPI_Cart_create,MPI_Type_size,MPI_Comm_size,MPI_Send,MPI_Sendrecv,MPI_Cart_shift,MPI_Comm_rank,MPI_Cart_rank,Processes,Size
in.lj-single,90.37,68.3,84.45,47.64,55.6,19.92,29.86,0.03,1.78,0.76,0.0,0.01,0.13,59.8,0.0,34.0,0.0,1.09,0.01,0.0,0.0,0.34,2.04,0.0,0.0,0.0,16.0,256.0
in.lj-single,96.5,84.01,93.49,44.14,48.98,21.04,79.17,0.01,3.13,1.05,0.0,0.0,0.81,36.71,0.0,47.3,0.0,9.37,0.02,0.0,0.0,0.2,1.37,0.0,0.0,0.0,32.0,256.0
in.lj-single,98.92,94.45,97.52,24.1,26.25,10.32,206.22,0.01,1.1,0.0,0.0,0.26,1.48,11.79,0.0,71.51,1.98,10.06,1.2,0.0,0.0,0.13,0.49,0.0,0.0,0.0,64.0,256.0
in.lj-single,25.1,22.49,23.81,9.17,9.29,9.05,8.32,0.01,0.94,0.38,0.0,0.0,0.31,50.45,0.0,13.52,1.07,9.38,0.0,0.0,0.0,21.83,2.1,0.0,0.0,0.0,2.0,864.0
in.lj-single,57.69,17.1,38.23,28.47,50.77,6.01,12.73,0.02,2.59,0.0,0.0,0.0,0.26,34.6,0.0,8.65,0.01,4.47,0.01,0.0,0.0,46.14,3.26,0.0,0.0,0.0,4.0,864.0
in.lj-single,68.71,44.94,61.64,44.9,57.38,13.5,27.86,0.03,1.1,0.0,0.0,0.01,0.09,70.11,0.0,11.27,0.0,5.41,0.01,0.0,0.0,6.73,5.24,0.0,0.0,0.0,8.0,864.0
in.lj-single,80.48,58.08,74.08,51.27,60.3,18.69,51.91,0.05,3.01,0.0,0.0,0.01,1.0,61.1,0.0,19.78,1.48,7.4,0.99,0.0,0.0,2.59,2.59,0.0,0.0,0.0,16.0,864.0
in.lj-single,92.64,77.14,86.85,53.83,59.52,22.62,118.44,0.03,4.53,0.7,0.0,0.0,0.13,54.17,0.0,30.6,0.01,5.22,0.02,0.0,0.0,0.31,4.28,0.0,0.0,0.0,32.0,864.0
in.lj-single,96.22,83.03,91.75,22.26,24.79,7.75,207.06,0.02,0.52,0.0,0.0,0.01,1.14,25.4,0.0,70.46,0.01,0.49,0.03,0.0,0.0,0.2,1.72,0.0,0.0,0.0,64.0,864.0
in.lj-single,67.67,39.91,57.58,5.19,6.31,4.54,1.45,0.0,5.55,0.0,0.0,0.0,0.0,2.3,0.0,86.2,0.02,1.3,0.01,0.0,0.0,0.15,4.46,0.0,0.0,0.0,2.0,2048.0
in.lj-single,57.37,13.88,35.78,30.33,53.97,6.68,28.31,0.03,0.15,0.0,0.0,0.0,0.12,19.09,0.0,4.02,0.2,1.54,0.0,0.0,0.0,69.47,5.38,0.0,0.0,0.0,4.0,2048.0
in.lj-single,63.1,24.69,51.95,43.15,55.4,9.05,47.22,0.05,1.39,0.25,0.0,0.0,0.29,80.96,0.0,7.1,0.0,1.26,0.18,0.0,0.0,6.1,2.42,0.0,0.0,0.0,8.0,2048.0
in.lj-single,69.71,34.32,60.63,45.54,53.81,10.78,65.88,0.08,3.92,0.0,0.0,0.28,0.09,69.08,0.0,15.97,0.59,2.15,0.0,0.0,0.0,4.04,3.79,0.0,0.0,0.0,16.0,2048.0
in.lj-single,82.67,63.56,75.29,47.77,53.0,15.33,128.23,0.05,0.71,0.65,0.0,0.0,0.12,58.33,0.0,28.48,0.81,7.34,0.02,0.0,0.0,0.84,2.65,0.0,0.0,0.0,32.0,2048.0
in.lj-single,91.0,68.87,83.19,28.03,31.27,7.21,236.56,0.03,0.51,0.0,0.0,0.3,0.42,30.74,0.0,59.97,0.23,5.52,0.02,0.0,0.0,0.32,1.92,0.0,0.0,0.0,64.0,2048.0
