Benchmark,MPI_(%),MPI_Time,MPI_Comm_size,MPI_Allreduce,MPI_Cart_get,MPI_Bcast,MPI_Barrier,MPI_Cart_shift,MPI_Allgather,MPI_Finalize,MPI_Cart_rank,MPI_Scan,MPI_Comm_free,MPI_Init,MPI_Send,MPI_Alltoall,MPI_Reduce,MPI_Alltoallv,MPI_Wait,MPI_Sendrecv,MPI_Waitany,MPI_Comm_dup,MPI_Cart_create,MPI_Reduce_scatter,MPI_Comm_rank,MPI_Irecv,Processes,Size
in.eam,0.0,4.28,0.0,0.09,0.01,0.22,0.06,0.01,0.0,0.0,0.01,0.03,0.04,99.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.01,0.0,1.0,2048.0
in.eam,8.07,59.41,0.0,8.73,0.0,2.03,0.04,0.0,0.0,0.0,0.0,0.0,0.0,84.74,0.17,0.0,0.0,0.0,0.18,4.07,0.0,0.0,0.03,0.0,0.0,0.0,2.0,2048.0
in.eam,36.29,37.94,0.0,1.33,0.0,0.18,0.0,0.0,0.0,0.03,0.0,0.0,0.0,2.02,18.99,0.0,0.0,0.0,74.12,3.31,0.0,0.0,0.0,0.0,0.0,0.02,4.0,2048.0
in.eam,40.8,44.83,0.0,2.03,0.0,0.16,0.0,0.0,0.0,0.03,0.0,0.0,0.0,5.19,0.58,0.0,0.0,0.0,88.43,3.55,0.0,0.0,0.0,0.0,0.0,0.02,8.0,2048.0
in.eam,39.19,48.69,0.0,6.37,0.0,0.34,0.0,0.0,0.0,0.04,0.0,0.0,0.0,12.96,1.76,0.0,0.0,0.0,76.29,2.18,0.0,0.0,0.01,0.0,0.0,0.05,16.0,2048.0
in.eam,35.16,56.96,0.0,6.9,0.0,1.04,0.0,0.0,0.0,0.09,0.0,0.0,0.0,30.77,0.82,0.0,0.0,0.0,59.13,1.17,0.0,0.0,0.02,0.0,0.0,0.05,32.0,2048.0
in.eam,27.83,71.06,0.0,3.72,0.0,0.57,0.02,0.0,0.0,0.51,0.0,0.0,0.0,53.35,0.38,0.0,0.0,0.0,40.23,1.16,0.0,0.0,0.02,0.0,0.0,0.03,64.0,2048.0
in.lj,0.0,7.98,0.0,0.13,0.01,0.2,0.03,0.01,0.0,2.89,0.01,0.03,0.02,96.45,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,1.0,32.0
in.lj,11.8,64.39,0.0,0.39,0.0,0.7,0.04,0.0,0.0,4.11,0.0,0.0,0.0,69.5,3.32,0.0,0.0,0.0,20.8,1.11,0.0,0.0,0.02,0.0,0.0,0.01,2.0,32.0
in.lj,18.24,72.18,0.0,0.45,0.0,1.96,0.01,0.0,0.0,1.05,0.0,0.01,0.0,65.96,0.59,0.0,0.0,0.0,27.59,2.33,0.0,0.0,0.04,0.0,0.0,0.02,4.0,32.0
in.lj,9.6,88.35,0.0,1.23,0.0,2.37,0.01,0.0,0.0,2.25,0.0,0.01,0.0,83.73,0.57,0.0,0.0,0.0,9.12,0.65,0.0,0.0,0.03,0.0,0.0,0.02,8.0,32.0
in.lj,5.07,96.15,0.0,0.1,0.0,1.41,0.01,0.0,0.0,0.21,0.0,0.01,0.0,92.72,0.22,0.0,0.0,0.0,5.23,0.03,0.0,0.0,0.05,0.0,0.0,0.01,16.0,32.0
in.lj,3.47,98.27,0.0,0.06,0.0,1.39,0.01,0.0,0.0,0.26,0.0,0.01,0.0,94.79,0.2,0.0,0.0,0.0,2.46,0.55,0.0,0.0,0.27,0.0,0.0,0.01,32.0,32.0
in.lj,1.74,99.16,0.0,0.62,0.0,0.72,0.01,0.0,0.0,0.32,0.0,0.01,0.0,97.14,0.09,0.0,0.0,0.0,1.02,0.03,0.0,0.0,0.04,0.0,0.0,0.01,64.0,32.0
in.lj,0.0,1.51,0.0,0.95,0.01,0.18,0.79,0.01,0.0,8.7,0.0,0.02,0.02,89.09,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.01,0.0,1.0,256.0
in.lj,20.87,36.54,0.0,1.37,0.0,0.1,0.02,0.0,0.0,0.05,0.0,0.0,0.0,38.58,1.33,0.0,0.0,0.0,56.25,2.27,0.0,0.0,0.01,0.0,0.0,0.01,2.0,256.0
in.lj,28.37,51.56,0.0,1.92,0.0,0.83,0.01,0.0,0.0,0.1,0.0,0.0,0.0,30.7,8.33,0.0,0.01,0.0,57.61,0.45,0.0,0.0,0.02,0.0,0.0,0.02,4.0,256.0
in.lj,26.06,63.24,0.0,0.39,0.0,2.17,0.01,0.0,0.0,0.16,0.0,0.0,0.0,53.17,0.88,0.0,0.0,0.0,42.83,0.34,0.0,0.0,0.01,0.0,0.0,0.02,8.0,256.0
in.lj,17.47,80.99,0.0,1.74,0.0,2.62,0.01,0.0,0.0,0.18,0.0,0.01,0.0,74.63,0.45,0.0,0.0,0.0,20.27,0.04,0.0,0.0,0.04,0.0,0.0,0.02,16.0,256.0
in.lj,9.54,91.39,0.0,0.82,0.0,1.65,0.01,0.0,0.0,0.23,0.0,0.01,0.0,87.32,0.24,0.0,0.0,0.0,9.28,0.4,0.0,0.0,0.03,0.0,0.0,0.01,32.0,256.0
in.lj,4.32,96.57,0.0,0.46,0.0,0.78,0.01,0.0,0.0,0.32,0.0,0.01,0.0,93.73,0.16,0.0,0.01,0.0,4.44,0.05,0.0,0.0,0.03,0.0,0.0,0.01,64.0,256.0
in.lj,0.0,0.45,0.0,0.92,0.01,0.16,0.77,0.01,0.0,8.35,0.0,0.02,0.03,89.51,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.01,0.0,1.0,864.0
in.lj,22.85,27.81,0.0,0.82,0.0,0.06,0.19,0.0,0.0,0.15,0.0,0.0,0.0,14.57,0.45,0.0,0.0,0.0,81.68,2.06,0.0,0.0,0.01,0.0,0.0,0.01,2.0,864.0
