Benchmark,MPI_(%),MPI_Time,MPI_Init,MPI_Comm_size,MPI_Send,MPI_Cart_rank,MPI_Cart_create,MPI_Allgather,MPI_Comm_rank,MPI_Barrier,MPI_Cart_get,MPI_Finalize,MPI_Alltoallv,MPI_Allreduce,MPI_Wait,MPI_Comm_dup,MPI_Comm_free,MPI_Reduce,MPI_Bcast,MPI_Alltoall,MPI_Irecv,MPI_Cart_shift,MPI_Sendrecv,MPI_Waitany,Processes,Size
in.rhodo,0.41,0.08,61.74,0.0,0.0,0.0,0.15,0.65,0.01,0.04,0.0,0.0,34.16,0.9,0.0,1.92,0.01,0.0,0.23,0.16,0.0,0.0,0.0,0.0,1.0,2048.0
in.rhodo,0.75,0.07,80.18,0.0,0.0,0.0,0.27,0.02,0.01,0.03,0.01,0.0,14.66,0.31,0.0,2.61,0.03,0.0,1.05,0.8,0.0,0.01,0.0,0.0,1.0,2048.0
in.rhodo,17.32,2.35,49.1,0.0,0.22,0.0,0.86,0.0,0.0,1.35,0.0,0.0,8.75,11.32,1.8,0.05,0.0,0.0,19.91,5.6,0.0,0.0,1.03,0.0,2.0,2048.0
in.rhodo,16.1,2.15,51.89,0.0,0.4,0.0,0.03,0.0,0.0,0.65,0.0,0.0,0.83,10.62,1.53,0.07,0.0,0.0,25.33,7.41,0.0,0.0,1.23,0.0,2.0,2048.0
in.rhodo,30.9,3.96,30.19,0.0,0.14,0.0,1.27,0.35,0.0,2.69,0.0,0.0,0.17,12.73,9.23,0.03,0.0,0.0,8.89,8.81,0.0,0.0,25.5,0.0,2.0,2048.0
in.rhodo,30.81,369.56,0.31,0.0,14.83,0.0,0.02,0.01,0.0,0.08,0.0,0.01,0.01,18.75,60.14,0.0,0.0,0.0,0.51,0.18,0.02,0.0,2.51,2.61,4.0,2048.0
in.rhodo,32.9,307.54,0.38,0.0,17.53,0.0,0.02,0.0,0.0,0.1,0.0,0.01,0.02,20.62,53.3,0.03,0.0,0.0,2.0,0.17,0.01,0.0,2.91,2.9,4.0,2048.0
in.rhodo,38.33,338.06,0.6,0.0,5.46,0.0,0.02,0.0,0.0,0.1,0.0,0.0,0.03,19.35,70.47,0.0,0.0,0.0,0.33,0.17,0.0,0.0,3.25,0.21,4.0,2048.0
in.rhodo,41.64,498.84,0.61,0.0,5.87,0.0,0.02,0.05,0.0,0.14,0.0,0.0,0.08,19.6,66.07,0.04,0.0,0.0,1.67,0.15,0.01,0.0,2.73,2.96,8.0,2048.0
in.rhodo,43.27,402.75,0.77,0.0,7.97,0.0,0.02,0.0,0.0,0.1,0.0,0.01,0.01,21.84,59.54,0.05,0.0,0.0,1.5,0.31,0.02,0.0,3.25,4.62,8.0,2048.0
