Benchmark,Size,Processes,Section,min time,avg time,max time,%varavg,%total
in.lj,2048,32,Neigh,0.074794,0.089886,0.13957,4.0,3.30
in.lj,2048,32,Comm,0.57862,1.3603,1.5594,14.7,49.87
in.lj,2048,32,Output,0.0003585,0.0044648,0.0099073,6.9,0.16
in.lj,2048,32,Modify,0.10407,0.11877,0.25231,7.1,4.35
in.lj,2048,32,Other,,0.03032,,,1.11
in.lj,2048,64,Pair,0.51613,0.58276,0.85872,8.3,34.50
in.lj,2048,64,Neigh,0.039573,0.045981,0.072836,2.7,2.72
in.lj,2048,64,Comm,0.48485,0.94674,1.0332,8.5,56.04
in.lj,2048,64,Output,0.00027226,0.0078779,0.013638,7.3,0.47
in.lj,2048,64,Modify,0.072868,0.086977,0.23912,6.7,5.15
in.lj,2048,64,Other,,0.01906,,,1.13
in.lj-double,32,2,Pair,0.18134,0.20778,0.23422,5.8,70.12
in.lj-double,32,2,Neigh,0.020911,0.023729,0.026547,1.8,8.01
in.lj-double,32,2,Comm,0.019464,0.049862,0.080261,13.6,16.83
in.lj-double,32,2,Output,4.6357e-05,5.3871e-05,6.1385e-05,0.0,0.02
in.lj-double,32,2,Modify,0.010712,0.011572,0.012433,0.8,3.91
in.lj-double,32,2,Other,,0.003327,,,1.12
in.lj-double,32,4,Pair,0.1211,0.12935,0.13835,1.9,68.03
in.lj-double,32,4,Neigh,0.013895,0.014132,0.014452,0.2,7.43
in.lj-double,32,4,Comm,0.024096,0.033837,0.043909,4.1,17.80
in.lj-double,32,4,Output,5.7562e-05,6.4562e-05,7.6482e-05,0.0,0.03
in.lj-double,32,4,Modify,0.0091276,0.010404,0.011449,1.0,5.47
in.lj-double,32,4,Other,,0.002343,,,1.23
in.lj-double,32,8,Pair,0.058276,0.062482,0.076996,2.3,57.47
in.lj-double,32,8,Neigh,0.0070594,0.0073396,0.0079658,0.3,6.75
in.lj-double,32,8,Comm,0.018448,0.03333,0.038009,3.2,30.66
in.lj-double,32,8,Output,4.2726e-05,4.8227e-05,5.6053e-05,0.0,0.04
in.lj-double,32,8,Modify,0.0041813,0.0046573,0.0053334,0.7,4.28
in.lj-double,32,8,Other,,0.000859,,,0.79
in.lj-double,32,16,Pair,0.029412,0.032051,0.042724,1.7,45.78
in.lj-double,32,16,Neigh,0.0038607,0.0039825,0.0044295,0.2,5.69
in.lj-double,32,16,Comm,0.020852,0.031407,0.034145,1.8,44.86
in.lj-double,32,16,Output,5.0954e-05,8.1284e-05,0.00016517,0.0,0.12
in.lj-double,32,16,Modify,0.0018538,0.0019797,0.0022717,0.2,2.83
in.lj-double,32,16,Other,,0.0005123,,,0.73
in.lj-double,32,32,Pair,0.013963,0.016461,0.026449,1.8,39.45
in.lj-double,32,32,Neigh,0.0016944,0.0021082,0.002399,0.3,5.05
in.lj-double,32,32,Comm,0.012084,0.021916,0.024402,1.6,52.52
in.lj-double,32,32,Output,2.7165e-05,6.3832e-05,0.00014622,0.0,0.15
in.lj-double,32,32,Modify,0.00069985,0.00092633,0.0010285,0.0,2.22
in.lj-double,32,32,Other,,0.0002529,,,0.61
in.lj-double,32,64,Pair,0.0065325,0.0085437,0.022264,2.6,25.53
in.lj-double,32,64,Neigh,0.0010102,0.0012735,0.0018774,0.5,3.81
in.lj-double,32,64,Comm,0.0084749,0.022807,0.025064,1.7,68.16
in.lj-double,32,64,Output,3.1667e-05,8.5501e-05,0.00019176,0.0,0.26
in.lj-double,32,64,Modify,0.00046989,0.00058822,0.00088464,0.0,1.76
in.lj-double,32,64,Other,,0.0001639,,,0.49
in.lj-double,256,2,Pair,1.8191,2.1049,2.3907,19.7,72.69
in.lj-double,256,2,Neigh,0.17496,0.17869,0.18242,0.9,6.17
in.lj-double,256,2,Comm,0.13963,0.41732,0.69501,43.0,14.41
in.lj-double,256,2,Output,0.00028309,0.00030388,0.00032467,0.0,0.01
in.lj-double,256,2,Modify,0.1584,0.1622,0.166,0.9,5.60
in.lj-double,256,2,Other,,0.03218,,,1.11
in.lj-double,256,4,Pair,1.0149,1.0538,1.0959,2.8,71.80
in.lj-double,256,4,Neigh,0.10239,0.10339,0.10451,0.3,7.04
in.lj-double,256,4,Comm,0.11755,0.17655,0.20365,8.2,12.03
in.lj-double,256,4,Output,0.00035979,0.00038339,0.00040783,0.0,0.03
in.lj-double,256,4,Modify,0.095898,0.11099,0.12533,3.7,7.56
in.lj-double,256,4,Other,,0.02255,,,1.54
in.lj-double,256,8,Pair,0.48113,0.52819,0.62152,5.7,65.18
in.lj-double,256,8,Neigh,0.052185,0.052918,0.053956,0.3,6.53
