Benchmark,Max_MPI_(%),Min_MPI_(%),MPI_(%),MPI_Imb_(%),Max_Imb_(%),Min_Imb_(%),MPI_Time,MPI_Reduce,MPI_Alltoall,MPI_Wait,MPI_Send,MPI_Irecv,MPI_Reduce_scatter,MPI_Allreduce,MPI_Bcast,MPI_Cart_rank,MPI_Comm_free,MPI_Cart_shift,MPI_Sendrecv,MPI_Cart_create,MPI_Comm_size,MPI_Comm_rank,MPI_Cart_get,MPI_Alltoallv,MPI_Finalize,MPI_Comm_dup,MPI_Barrier,MPI_Waitany,MPI_Scan,MPI_Init,MPI_Allgather,Processes,Size
in.chute,74.27,36.53,60.13,26.5,44.03,5.05,2.98,0.0,0.0,3.81,0.37,0.01,0.03,29.83,12.77,0.0,0.0,0.0,1.66,0.07,0.0,0.0,0.0,0.0,0.24,0.0,0.05,0.0,0.0,51.16,0.0,4.0,256.0
in.chute,86.34,62.93,77.3,21.19,31.38,3.49,7.59,0.0,0.0,0.35,0.19,0.01,0.02,15.82,14.15,0.0,0.0,0.0,0.02,0.05,0.0,0.0,0.0,0.0,0.39,0.0,0.03,0.0,0.0,68.96,0.0,8.0,256.0
in.chute,93.95,81.49,89.61,11.93,16.59,2.14,23.49,0.0,0.0,0.37,0.1,0.04,0.0,4.63,7.8,0.0,0.0,0.0,1.17,1.13,0.0,0.0,0.0,0.0,0.25,0.0,0.01,0.0,0.0,84.5,0.0,16.0,256.0
in.chute,96.95,83.67,92.37,10.14,15.07,1.36,46.65,0.0,0.0,0.2,0.1,0.01,0.01,3.56,7.91,0.0,0.0,0.0,0.03,1.12,0.0,0.0,0.0,0.0,0.31,0.0,0.01,0.0,0.0,86.76,0.0,32.0,256.0
in.chute,98.7,93.76,96.34,4.75,5.87,0.78,158.3,0.0,0.0,0.29,0.09,0.0,0.01,2.65,2.69,0.0,0.0,0.0,0.03,0.04,0.0,0.0,0.0,0.0,0.31,0.0,0.01,0.0,0.0,93.89,0.0,64.0,256.0
in.chute,1.98,1.98,1.98,0.0,0.0,0.0,0.06,0.03,0.0,0.0,0.0,0.0,0.02,1.85,1.21,0.01,0.02,0.01,0.0,0.27,0.0,0.0,0.01,0.0,10.14,0.0,0.05,0.0,0.0,86.38,0.0,1.0,864.0
in.chute,57.38,18.49,39.68,18.22,31.44,2.41,2.68,0.0,0.0,5.34,0.75,0.01,0.0,42.36,6.58,0.0,0.0,0.0,0.46,0.07,0.0,0.0,0.0,0.0,0.08,0.0,0.62,0.0,0.0,43.72,0.0,2.0,864.0
in.chute,67.96,35.82,55.66,29.0,42.28,5.03,4.56,0.0,0.0,11.75,0.4,0.02,0.0,35.99,10.17,0.0,0.0,0.0,0.11,0.03,0.0,0.0,0.0,0.0,0.47,0.0,1.05,0.0,0.0,40.01,0.0,4.0,864.0
in.chute,78.37,45.49,65.49,28.04,38.19,4.7,7.73,0.0,0.0,0.52,0.29,0.01,1.44,33.32,11.56,0.0,0.0,0.0,0.04,0.06,0.0,0.0,0.0,0.0,0.37,0.0,0.02,0.0,0.0,52.38,0.0,8.0,864.0
in.chute,89.09,61.83,79.26,20.0,26.51,4.08,17.92,0.0,0.0,2.03,0.21,0.01,0.0,14.48,11.07,0.0,0.0,0.0,0.05,0.07,0.0,0.0,0.0,0.0,0.31,0.0,0.01,0.0,0.0,71.74,0.0,16.0,864.0
in.chute,95.46,85.72,91.04,10.8,13.12,1.81,60.77,0.0,0.0,1.1,0.13,0.01,0.0,5.61,6.45,0.0,0.0,0.0,0.03,0.06,0.0,0.0,0.0,0.0,0.23,0.0,0.28,0.0,0.0,86.1,0.0,32.0,864.0
in.chute,98.18,90.49,95.3,5.83,7.36,0.67,159.91,0.0,0.0,0.15,0.08,0.0,0.01,3.23,2.84,0.0,0.0,0.0,0.03,0.03,0.0,0.0,0.0,0.0,0.3,0.0,0.63,0.0,0.0,92.69,0.0,64.0,864.0
in.chute,1.02,1.02,1.02,0.0,0.0,0.0,0.05,0.03,0.0,0.0,0.0,0.0,0.03,1.95,1.22,0.01,0.04,0.01,0.0,0.28,0.0,0.0,0.07,0.0,10.42,0.0,0.05,0.0,0.0,85.88,0.0,1.0,2048.0
in.chute,48.59,16.81,31.79,19.76,41.73,0.18,3.48,0.0,0.0,1.8,0.21,0.01,0.0,57.24,4.81,0.0,0.0,0.0,1.66,0.04,0.0,0.0,0.0,0.0,0.06,0.0,0.46,0.0,0.0,33.7,0.0,2.0,2048.0
in.chute,59.52,24.68,48.75,30.6,42.12,3.78,6.12,0.0,0.0,7.98,0.5,0.02,0.0,53.24,7.07,0.0,0.0,0.0,0.68,0.04,0.0,0.0,0.0,0.0,0.3,0.0,0.01,0.0,0.0,30.16,0.0,4.0,2048.0
in.chute,73.24,48.88,63.85,29.33,37.19,4.99,11.72,0.0,0.0,4.5,0.41,0.01,0.02,34.89,10.44,0.0,0.0,0.0,0.62,0.04,0.0,0.0,0.0,0.0,0.24,0.0,0.03,0.0,0.0,48.81,0.0,8.0,2048.0
in.chute,84.63,58.39,74.72,23.62,29.17,2.61,22.69,0.0,0.0,3.51,0.3,0.01,0.02,19.93,10.49,0.0,0.0,0.0,0.03,0.05,0.0,0.0,0.0,0.0,0.19,0.0,0.59,0.0,0.0,64.89,0.0,16.0,2048.0
in.chute,92.99,77.42,85.8,15.41,20.45,1.77,56.2,0.0,0.0,1.81,0.17,0.01,0.0,10.18,7.53,0.0,0.0,0.0,0.57,0.06,0.0,0.0,0.0,0.0,0.25,0.0,0.01,0.0,0.0,79.41,0.0,32.0,2048.0
in.chute,97.33,87.84,93.1,7.64,9.3,0.83,157.29,0.01,0.0,0.52,0.12,0.01,0.53,5.07,2.74,0.0,0.0,0.0,0.23,0.04,0.0,0.0,0.0,0.0,0.32,0.0,0.01,0.0,0.0,90.39,0.0,64.0,2048.0
in.eam,3.64,3.64,3.64,0.0,0.0,0.0,0.06,0.02,0.0,0.0,0.0,0.0,0.0,0.2,0.19,0.01,0.03,0.01,0.0,0.24,0.0,0.0,0.01,0.0,2.88,0.0,0.03,0.0,0.02,96.36,0.0,1.0,32.0
in.eam,67.88,29.12,51.52,17.07,27.94,2.19,2.24,0.0,0.0,37.89,3.19,0.01,0.0,1.02,0.64,0.0,0.0,0.0,2.05,0.02,0.0,0.0,0.0,0.0,0.69,0.0,0.03,0.0,0.0,54.46,0.0,2.0,32.0
in.eam,66.04,61.68,63.79,22.57,35.01,0.59,3.35,0.0,0.0,40.24,0.51,0.02,0.0,0.44,2.06,0.0,0.0,0.0,0.17,0.03,0.0,0.0,0.0,0.0,0.21,0.0,0.01,0.0,0.03,56.27,0.0,4.0,32.0
in.eam,82.02,78.52,80.06,18.65,24.58,0.19,7.14,0.0,0.0,23.21,0.36,0.03,0.0,0.12,4.26,0.0,0.0,0.0,0.11,0.02,0.0,0.0,0.0,0.0,0.22,0.0,0.01,0.0,0.0,71.67,0.0,8.0,32.0
in.eam,92.06,85.43,87.69,13.41,17.5,0.32,13.09,0.0,0.0,16.23,0.36,0.03,0.0,0.78,2.03,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.45,0.0,0.01,0.0,0.01,79.9,0.0,16.0,32.0
in.eam,98.26,94.32,96.06,4.55,5.43,0.37,48.06,0.0,0.0,4.6,0.17,0.01,0.0,0.63,1.27,0.0,0.0,0.0,0.04,0.04,0.0,0.0,0.0,0.0,1.18,0.0,0.01,0.0,0.01,92.03,0.0,32.0,32.0
in.eam,99.47,96.4,98.57,3.02,3.98,0.3,155.12,0.01,0.0,2.03,0.12,0.01,0.0,1.03,0.77,0.0,0.0,0.0,0.04,0.18,0.0,0.0,0.0,0.0,0.32,0.0,0.01,0.0,0.01,95.46,0.0,64.0,32.0
in.eam,0.57,0.57,0.57,0.0,0.0,0.0,0.06,0.03,0.0,0.0,0.0,0.0,0.0,1.41,0.2,0.01,0.02,0.01,0.0,0.23,0.0,0.0,0.01,0.0,9.71,0.0,0.9,0.0,0.02,87.44,0.0,1.0,256.0
in.eam,49.24,10.43,29.31,21.69,44.29,0.28,6.41,0.0,0.0,73.99,1.55,0.01,0.0,2.12,0.28,0.0,0.0,0.0,1.28,0.01,0.0,0.0,0.0,0.0,0.27,0.0,0.01,0.0,0.0,20.48,0.0,2.0,256.0
in.eam,54.48,11.11,42.1,30.89,42.28,0.98,9.7,0.01,0.0,76.49,1.88,0.02,0.0,0.93,0.53,0.0,0.0,0.0,1.35,0.01,0.0,0.0,0.0,0.0,0.06,0.0,0.03,0.0,0.0,18.7,0.0,4.0,256.0
in.eam,62.39,26.42,52.57,34.95,42.73,3.8,14.46,0.0,0.0,68.78,1.24,0.03,0.0,3.02,1.05,0.0,0.0,0.0,1.74,0.01,0.0,0.0,0.0,0.0,0.2,0.0,0.01,0.0,0.01,23.9,0.0,8.0,256.0
in.eam,77.66,44.96,65.28,29.42,33.72,1.96,25.25,0.0,0.0,44.6,0.47,0.03,0.0,3.12,1.35,0.0,0.0,0.0,2.35,0.01,0.0,0.0,0.0,0.0,0.17,0.0,0.01,0.0,0.01,47.89,0.0,16.0,256.0
in.eam,90.76,71.25,81.65,18.89,21.17,0.98,59.53,0.67,0.0,20.4,0.3,0.02,0.0,3.0,1.38,0.0,0.0,0.0,0.96,0.04,0.0,0.0,0.0,0.0,0.23,0.0,0.44,0.0,0.01,72.55,0.0,32.0,256.0
in.eam,97.16,86.25,92.7,7.63,8.65,0.12,166.95,0.0,0.0,8.68,0.18,0.01,0.0,0.76,0.76,0.0,0.0,0.0,0.06,0.03,0.0,0.0,0.0,0.0,0.77,0.0,0.01,0.0,0.01,88.75,0.0,64.0,256.0
in.eam,0.19,0.19,0.19,0.0,0.0,0.0,0.07,0.02,0.0,0.0,0.0,0.0,0.0,1.22,0.96,0.01,0.02,0.01,0.0,0.2,0.0,0.0,0.01,0.0,8.56,0.0,0.06,0.0,0.02,88.91,0.0,1.0,864.0
in.eam,51.22,1.76,26.67,24.25,48.12,0.03,19.4,0.0,0.0,88.54,0.68,0.01,0.0,1.31,0.03,0.0,0.0,0.0,2.61,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.01,0.0,0.0,6.74,0.0,2.0,864.0
in.eam,51.25,3.37,39.07,34.98,47.18,0.21,28.36,0.0,0.0,71.25,17.0,0.02,0.0,1.97,0.4,0.0,0.0,0.0,2.66,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,6.45,0.0,4.0,864.0
in.eam,53.76,8.81,46.34,36.85,43.42,0.2,35.53,0.27,0.0,78.09,0.69,0.03,0.0,3.76,0.35,0.0,0.0,0.0,2.16,0.01,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,14.57,0.0,8.0,864.0
in.eam,60.78,22.7,53.57,36.11,41.54,1.75,48.01,0.0,0.0,65.26,0.96,0.04,0.0,6.95,0.57,0.0,0.0,0.0,1.72,0.02,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,24.41,0.0,16.0,864.0
