Benchmark,Max_MPI_(%),Min_MPI_(%),MPI_(%),MPI_Imb_(%),Max_Imb_(%),Min_Imb_(%),MPI_Time,MPI_Waitany,MPI_Scan,MPI_Allgather,MPI_Init,MPI_Sendrecv,MPI_Allreduce,MPI_Comm_size,MPI_Reduce_scatter,MPI_Cart_get,MPI_Send,MPI_Cart_shift,MPI_Finalize,MPI_Wait,MPI_Bcast,MPI_Irecv,MPI_Barrier,MPI_Comm_rank,MPI_Alltoall,MPI_Alltoallv,MPI_Cart_rank,MPI_Comm_dup,MPI_Reduce,MPI_Comm_free,MPI_Cart_create,Processes,Size
in.chain,53.2,6.28,45.26,38.68,45.2,0.26,51.77,0.0,0.0,0.0,10.84,14.2,40.5,0.0,0.0,0.0,0.38,0.0,0.05,30.85,2.28,0.01,0.44,0.0,0.22,0.04,0.0,0.0,0.17,0.0,0.01,8.0,2048.0
in.chain,60.26,13.34,49.75,38.27,42.88,1.0,63.84,0.0,0.0,0.0,17.38,7.71,44.42,0.0,0.0,0.0,1.95,0.0,0.06,24.34,3.3,0.02,0.01,0.0,0.02,0.06,0.0,0.0,0.34,0.0,0.38,16.0,2048.0
in.chain,71.59,31.85,59.65,34.55,40.21,2.16,103.55,0.0,0.0,0.0,36.34,8.06,33.14,0.0,0.0,0.0,0.31,0.0,0.13,16.65,4.6,0.02,0.02,0.0,0.53,0.18,0.0,0.0,0.0,0.0,0.03,32.0,2048.0
in.chain,86.0,53.09,75.15,25.62,27.81,1.38,237.3,0.0,0.0,0.0,61.58,3.44,24.34,0.0,0.0,0.0,0.2,0.0,0.19,6.98,2.42,0.01,0.05,0.0,0.08,0.67,0.0,0.0,0.0,0.0,0.03,64.0,2048.0
in.chute,12.84,12.84,12.84,0.0,0.0,0.0,0.07,0.0,0.0,0.0,96.77,0.0,0.23,0.0,0.02,0.01,0.0,0.01,2.5,0.0,0.2,0.0,0.02,0.0,0.0,0.0,0.01,0.0,0.02,0.03,0.19,1.0,32.0
in.chute,81.12,51.11,70.48,11.05,15.85,2.31,1.64,0.0,0.0,0.0,74.6,0.03,12.26,0.0,0.0,0.0,0.13,0.0,1.04,1.14,10.65,0.01,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,2.0,32.0
in.chute,79.8,74.65,77.69,19.63,37.87,1.8,2.66,0.0,0.0,0.0,71.3,0.03,10.12,0.0,0.0,0.0,0.16,0.0,0.73,1.58,15.99,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.04,4.0,32.0
in.chute,91.96,82.96,87.11,14.63,27.0,2.68,6.94,0.0,0.0,0.0,79.43,0.02,5.84,0.0,0.03,0.0,0.15,0.0,0.23,0.7,13.5,0.01,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,8.0,32.0
in.chute,96.23,89.77,93.4,7.8,13.11,0.71,21.5,0.0,0.0,0.0,88.68,0.02,0.95,0.0,0.0,0.0,0.13,0.0,1.34,0.33,8.47,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,16.0,32.0
in.chute,97.91,92.56,95.44,5.78,10.54,0.7,53.09,0.0,0.0,0.0,92.19,0.02,0.78,0.0,0.0,0.0,0.08,0.0,0.28,0.28,6.29,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,32.0,32.0
in.chute,98.75,95.26,97.15,3.2,4.24,0.49,158.25,0.0,0.0,0.0,95.69,0.03,1.39,0.0,0.01,0.0,0.07,0.0,0.32,0.14,2.3,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,64.0,32.0
in.chute,4.2,4.2,4.2,0.0,0.0,0.0,0.06,0.0,0.0,0.0,95.95,0.0,0.49,0.0,0.02,0.01,0.0,0.01,2.91,0.0,0.25,0.0,0.03,0.0,0.0,0.0,0.01,0.0,0.03,0.03,0.24,1.0,256.0
in.chute,68.49,34.56,54.42,16.35,25.61,3.29,2.17,0.0,0.0,0.0,57.55,0.08,28.31,0.0,0.0,0.0,0.17,0.0,0.77,4.62,8.42,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,2.0,256.0
in.chute,74.27,36.53,60.13,26.5,44.03,5.05,2.98,0.0,0.0,0.0,51.16,1.66,29.83,0.0,0.03,0.0,0.37,0.0,0.24,3.81,12.77,0.01,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,4.0,256.0
in.chute,86.34,62.93,77.3,21.19,31.38,3.49,7.59,0.0,0.0,0.0,68.96,0.02,15.82,0.0,0.02,0.0,0.19,0.0,0.39,0.35,14.15,0.01,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,8.0,256.0
in.chute,93.95,81.49,89.61,11.93,16.59,2.14,23.49,0.0,0.0,0.0,84.5,1.17,4.63,0.0,0.0,0.0,0.1,0.0,0.25,0.37,7.8,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.13,16.0,256.0
