Benchmark,Size,Processes,Section,min time,avg time,max time,%varavg,%CPU,%total
in.chain.timer,256,32,Modify,0.052159,0.053497,0.054825,0.4,98.1,20.47
in.chain.timer,256,32,Other,,0.01359,,,,5.20
in.chain.timer,256,64,Pair,0.033737,0.034247,0.036602,0.2,97.7,24.56
in.chain.timer,256,64,Bond,0.0055341,0.0056514,0.0060881,0.1,97.6,4.05
in.chain.timer,256,64,Neigh,0.031676,0.03201,0.032455,0.1,98.3,22.96
in.chain.timer,256,64,Comm,0.029709,0.031629,0.033754,0.6,96.9,22.68
in.chain.timer,256,64,Output,6.8366e-05,8.0169e-05,9.8923e-05,0.0,100.0,0.06
in.chain.timer,256,64,Modify,0.025736,0.02614,0.027089,0.1,97.4,18.75
in.chain.timer,256,64,Other,,0.009671,,,,6.94
in.chain.timer,864,1,Pair,6.0917,6.0917,6.0917,0.0,99.2,26.97
in.chain.timer,864,1,Bond,1.2038,1.2038,1.2038,0.0,99.2,5.33
in.chain.timer,864,1,Neigh,5.403,5.403,5.403,0.0,99.3,23.92
in.chain.timer,864,1,Comm,4.3824,4.3824,4.3824,0.0,99.1,19.40
in.chain.timer,864,1,Output,0.0022042,0.0022042,0.0022042,0.0,100.0,0.01
in.chain.timer,864,1,Modify,4.8529,4.8529,4.8529,0.0,99.2,21.48
in.chain.timer,864,1,Other,,0.6545,,,,2.90
in.chain.timer,864,2,Pair,3.0826,3.0934,3.1042,0.6,99.1,27.45
in.chain.timer,864,2,Bond,0.57024,0.57101,0.57178,0.1,99.2,5.07
in.chain.timer,864,2,Neigh,2.6489,2.6494,2.6499,0.0,99.2,23.51
in.chain.timer,864,2,Comm,2.1345,2.1448,2.1551,0.7,97.2,19.03
in.chain.timer,864,2,Output,0.001028,0.0011097,0.0011914,0.2,100.0,0.01
in.chain.timer,864,2,Modify,2.4479,2.4573,2.4666,0.6,99.1,21.80
in.chain.timer,864,2,Other,,0.3532,,,,3.13
in.chain.timer,864,4,Pair,1.5503,1.5942,1.6463,3.3,98.9,26.15
in.chain.timer,864,4,Bond,0.30655,0.31562,0.32677,1.5,98.7,5.18
in.chain.timer,864,4,Neigh,1.4005,1.4029,1.4055,0.2,98.7,23.02
in.chain.timer,864,4,Comm,1.1841,1.2535,1.3097,5.0,94.9,20.56
in.chain.timer,864,4,Output,0.00094205,0.0011379,0.0012922,0.4,100.0,0.02
in.chain.timer,864,4,Modify,1.2431,1.2886,1.3439,3.8,97.9,21.14
in.chain.timer,864,4,Other,,0.2395,,,,3.93
in.chain.timer,864,8,Pair,0.83844,0.86753,0.906,2.7,99.4,25.78
in.chain.timer,864,8,Bond,0.17035,0.1762,0.18225,1.0,99.7,5.24
in.chain.timer,864,8,Neigh,0.73505,0.73676,0.73852,0.2,99.5,21.89
in.chain.timer,864,8,Comm,0.67515,0.72496,0.7619,3.6,95.0,21.54
in.chain.timer,864,8,Output,0.0003027,0.00051754,0.00057069,0.0,100.0,0.02
in.chain.timer,864,8,Modify,0.6695,0.69868,0.73934,2.8,97.6,20.76
in.chain.timer,864,8,Other,,0.1604,,,,4.77
in.chain.timer,864,16,Pair,0.49733,0.50549,0.52021,0.9,99.2,25.10
in.chain.timer,864,16,Bond,0.10057,0.10333,0.11007,0.8,99.5,5.13
in.chain.timer,864,16,Neigh,0.42165,0.42405,0.42615,0.2,99.6,21.06
in.chain.timer,864,16,Comm,0.44872,0.46953,0.48099,1.3,95.9,23.31
in.chain.timer,864,16,Output,0.00017417,0.0003519,0.00098993,0.0,100.0,0.02
in.chain.timer,864,16,Modify,0.39839,0.40887,0.42356,1.2,98.4,20.30
in.chain.timer,864,16,Other,,0.1024,,,,5.08
in.chain.timer,864,32,Pair,0.23696,0.24056,0.24503,0.3,98.8,27.23
in.chain.timer,864,32,Bond,0.041441,0.042108,0.043467,0.2,98.9,4.77
in.chain.timer,864,32,Neigh,0.20405,0.20517,0.20624,0.1,99.5,23.22
in.chain.timer,864,32,Comm,0.1579,0.1635,0.16792,0.7,96.0,18.50
in.chain.timer,864,32,Output,0.00013139,0.00031987,0.0004049,0.0,100.0,0.04
in.chain.timer,864,32,Modify,0.1859,0.18893,0.19457,0.4,98.7,21.38
in.chain.timer,864,32,Other,,0.04299,,,,4.86
in.chain.timer,864,64,Pair,0.11716,0.118,0.12208,0.2,98.5,25.50
in.chain.timer,864,64,Bond,0.020187,0.020681,0.022021,0.2,98.2,4.47
in.chain.timer,864,64,Neigh,0.11299,0.11369,0.1147,0.1,99.2,24.56
in.chain.timer,864,64,Comm,0.083222,0.088242,0.092193,0.7,96.8,19.07
in.chain.timer,864,64,Output,6.8669e-05,8.6031e-05,0.00010131,0.0,100.0,0.02
in.chain.timer,864,64,Modify,0.090916,0.092668,0.095814,0.3,98.3,20.02
in.chain.timer,864,64,Other,,0.02946,,,,6.37
in.chain.timer,2048,4,Pair,3.6488,3.7276,3.8391,4.0,99.0,25.34
in.chain.timer,2048,4,Bond,0.74947,0.76915,0.79476,2.1,98.9,5.23
in.chain.timer,2048,4,Neigh,3.3186,3.324,3.3282,0.2,98.9,22.60
in.chain.timer,2048,4,Comm,3.259,3.4027,3.5139,5.7,95.6,23.13
in.chain.timer,2048,4,Output,0.001348,0.0017734,0.0020668,0.7,100.0,0.01
in.chain.timer,2048,4,Modify,2.8714,2.9597,3.0673,4.7,98.5,20.12
in.chain.timer,2048,4,Other,,0.5243,,,,3.56
in.chain.timer,2048,8,Pair,1.8675,1.9001,1.97,2.2,99.7,25.36
in.chain.timer,2048,8,Bond,0.39206,0.39996,0.41701,1.2,99.7,5.34
in.chain.timer,2048,8,Neigh,1.6136,1.617,1.6185,0.1,99.7,21.58
in.chain.timer,2048,8,Comm,1.6392,1.733,1.7788,3.1,95.3,23.13
in.chain.timer,2048,8,Output,0.00073268,0.00098451,0.0010935,0.0,100.0,0.01
in.chain.timer,2048,8,Modify,1.5023,1.5362,1.6,2.3,99.1,20.51
in.chain.timer,2048,8,Other,,0.3043,,,,4.06
