Benchmark,Size,Processes,Section,min time,avg time,max time,%varavg,%total
in.rhodo-e-5,2048,8,Comm,1.8981,1.9092,1.9194,0.5,3.17
in.rhodo-e-5,2048,8,Output,0.00094835,0.00097825,0.0010392,0.0,0.00
in.rhodo-e-5,2048,8,Modify,6.8512,6.8691,6.8875,0.5,11.42
in.rhodo-e-5,2048,8,Other,,0.1958,,,0.33
in.rhodo-e-5,2048,16,Pair,17.719,17.887,18.096,2.6,57.87
in.rhodo-e-5,2048,16,Bond,1.1118,1.1294,1.1438,0.8,3.65
in.rhodo-e-5,2048,16,Kspace,4.6944,4.8863,5.0472,4.9,15.81
in.rhodo-e-5,2048,16,Neigh,2.1393,2.1419,2.1439,0.1,6.93
in.rhodo-e-5,2048,16,Comm,1.0468,1.0569,1.0792,0.9,3.42
in.rhodo-e-5,2048,16,Output,0.00052271,0.00054251,0.00061231,0.0,0.00
in.rhodo-e-5,2048,16,Modify,3.6419,3.664,3.68,0.6,11.86
in.rhodo-e-5,2048,16,Other,,0.1409,,,0.46
in.rhodo-e-5,2048,32,Pair,8.9624,9.1461,9.3468,3.0,55.07
in.rhodo-e-5,2048,32,Bond,0.56345,0.58306,0.60095,1.1,3.51
in.rhodo-e-5,2048,32,Kspace,2.5154,2.7068,2.8978,5.4,16.30
in.rhodo-e-5,2048,32,Neigh,1.1385,1.1412,1.1432,0.1,6.87
in.rhodo-e-5,2048,32,Comm,0.70198,0.71227,0.72851,0.6,4.29
in.rhodo-e-5,2048,32,Output,0.00039309,0.0004362,0.00050348,0.0,0.00
