Benchmark,Max_MPI_(%),Min_MPI_(%),MPI_(%),MPI_Imb_(%),Max_Imb_(%),Min_Imb_(%),MPI_Time,MPI_Comm_free,MPI_Allreduce,MPI_Comm_dup,MPI_Reduce_scatter,MPI_Scan,MPI_Sendrecv,MPI_Barrier,MPI_Cart_shift,MPI_Allgather,MPI_Wait,MPI_Init,MPI_Bcast,MPI_Cart_create,MPI_Alltoall,MPI_Cart_rank,MPI_Finalize,MPI_Reduce,MPI_Comm_rank,MPI_Waitany,MPI_Alltoallv,MPI_Cart_get,MPI_Comm_size,MPI_Irecv,MPI_Send,Processes,Size
in.chain,51.08,2.18,38.31,35.95,48.72,0.07,43.51,0.0,43.47,0.0,0.0,0.0,17.85,0.22,0.0,0.0,32.79,3.72,1.1,0.16,0.13,0.0,0.04,0.06,0.0,0.0,0.02,0.0,0.0,0.01,0.43,4.0,2048.0
in.chain,53.2,6.28,45.26,38.68,45.2,0.26,51.77,0.0,40.5,0.0,0.0,0.0,14.2,0.44,0.0,0.0,30.85,10.84,2.28,0.01,0.22,0.0,0.05,0.17,0.0,0.0,0.04,0.0,0.0,0.01,0.38,8.0,2048.0
in.chain,60.26,13.34,49.75,38.27,42.88,1.0,63.84,0.0,44.42,0.0,0.0,0.0,7.71,0.01,0.0,0.0,24.34,17.38,3.3,0.38,0.02,0.0,0.06,0.34,0.0,0.0,0.06,0.0,0.0,0.02,1.95,16.0,2048.0
in.chain,71.59,31.85,59.65,34.55,40.21,2.16,103.55,0.0,33.14,0.0,0.0,0.0,8.06,0.02,0.0,0.0,16.65,36.34,4.6,0.03,0.53,0.0,0.13,0.0,0.0,0.0,0.18,0.0,0.0,0.02,0.31,32.0,2048.0
in.chain,86.0,53.09,75.15,25.62,27.81,1.38,237.3,0.0,24.34,0.0,0.0,0.0,3.44,0.05,0.0,0.0,6.98,61.58,2.42,0.03,0.08,0.0,0.19,0.0,0.0,0.0,0.67,0.0,0.0,0.01,0.2,64.0,2048.0
in.chute,12.84,12.84,12.84,0.0,0.0,0.0,0.07,0.03,0.23,0.0,0.02,0.0,0.0,0.02,0.01,0.0,0.0,96.77,0.2,0.19,0.0,0.01,2.5,0.02,0.0,0.0,0.0,0.01,0.0,0.0,0.0,1.0,32.0
in.chute,81.12,51.11,70.48,11.05,15.85,2.31,1.64,0.0,12.26,0.0,0.0,0.0,0.03,0.05,0.0,0.0,1.14,74.6,10.65,0.08,0.0,0.0,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.13,2.0,32.0
in.chute,79.8,74.65,77.69,19.63,37.87,1.8,2.66,0.0,10.12,0.0,0.0,0.0,0.03,0.01,0.0,0.0,1.58,71.3,15.99,0.04,0.0,0.0,0.73,0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.16,4.0,32.0
in.chute,91.96,82.96,87.11,14.63,27.0,2.68,6.94,0.0,5.84,0.0,0.03,0.0,0.02,0.03,0.0,0.0,0.7,79.43,13.5,0.06,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.15,8.0,32.0
in.chute,96.23,89.77,93.4,7.8,13.11,0.71,21.5,0.0,0.95,0.0,0.0,0.0,0.02,0.01,0.0,0.0,0.33,88.68,8.47,0.05,0.0,0.0,1.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,16.0,32.0
in.chute,97.91,92.56,95.44,5.78,10.54,0.7,53.09,0.0,0.78,0.0,0.0,0.0,0.02,0.01,0.0,0.0,0.28,92.19,6.29,0.06,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,32.0,32.0
in.chute,98.75,95.26,97.15,3.2,4.24,0.49,158.25,0.0,1.39,0.0,0.01,0.0,0.03,0.01,0.0,0.0,0.14,95.69,2.3,0.04,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,64.0,32.0
in.chute,4.2,4.2,4.2,0.0,0.0,0.0,0.06,0.03,0.49,0.0,0.02,0.0,0.0,0.03,0.01,0.0,0.0,95.95,0.25,0.24,0.0,0.01,2.91,0.03,0.0,0.0,0.0,0.01,0.0,0.0,0.0,1.0,256.0
in.chute,68.49,34.56,54.42,16.35,25.61,3.29,2.17,0.0,28.31,0.0,0.0,0.0,0.08,0.03,0.0,0.0,4.62,57.55,8.42,0.04,0.0,0.0,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,2.0,256.0
in.chute,74.27,36.53,60.13,26.5,44.03,5.05,2.98,0.0,29.83,0.0,0.03,0.0,1.66,0.05,0.0,0.0,3.81,51.16,12.77,0.07,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.37,4.0,256.0
in.chute,86.34,62.93,77.3,21.19,31.38,3.49,7.59,0.0,15.82,0.0,0.02,0.0,0.02,0.03,0.0,0.0,0.35,68.96,14.15,0.05,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.19,8.0,256.0
in.chute,93.95,81.49,89.61,11.93,16.59,2.14,23.49,0.0,4.63,0.0,0.0,0.0,1.17,0.01,0.0,0.0,0.37,84.5,7.8,1.13,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.1,16.0,256.0
in.chute,96.95,83.67,92.37,10.14,15.07,1.36,46.65,0.0,3.56,0.0,0.01,0.0,0.03,0.01,0.0,0.0,0.2,86.76,7.91,1.12,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.1,32.0,256.0
in.chute,98.7,93.76,96.34,4.75,5.87,0.78,158.3,0.0,2.65,0.0,0.01,0.0,0.03,0.01,0.0,0.0,0.29,93.89,2.69,0.04,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,64.0,256.0
in.chute,1.98,1.98,1.98,0.0,0.0,0.0,0.06,0.02,1.85,0.0,0.02,0.0,0.0,0.05,0.01,0.0,0.0,86.38,1.21,0.27,0.0,0.01,10.14,0.03,0.0,0.0,0.0,0.01,0.0,0.0,0.0,1.0,864.0
in.chute,57.38,18.49,39.68,18.22,31.44,2.41,2.68,0.0,42.36,0.0,0.0,0.0,0.46,0.62,0.0,0.0,5.34,43.72,6.58,0.07,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.75,2.0,864.0
in.chute,67.96,35.82,55.66,29.0,42.28,5.03,4.56,0.0,35.99,0.0,0.0,0.0,0.11,1.05,0.0,0.0,11.75,40.01,10.17,0.03,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.4,4.0,864.0
in.chute,78.37,45.49,65.49,28.04,38.19,4.7,7.73,0.0,33.32,0.0,1.44,0.0,0.04,0.02,0.0,0.0,0.52,52.38,11.56,0.06,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.29,8.0,864.0
in.chute,89.09,61.83,79.26,20.0,26.51,4.08,17.92,0.0,14.48,0.0,0.0,0.0,0.05,0.01,0.0,0.0,2.03,71.74,11.07,0.07,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.21,16.0,864.0
in.chute,95.46,85.72,91.04,10.8,13.12,1.81,60.77,0.0,5.61,0.0,0.0,0.0,0.03,0.28,0.0,0.0,1.1,86.1,6.45,0.06,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.13,32.0,864.0
in.chute,98.18,90.49,95.3,5.83,7.36,0.67,159.91,0.0,3.23,0.0,0.01,0.0,0.03,0.63,0.0,0.0,0.15,92.69,2.84,0.03,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,64.0,864.0
in.chute,1.02,1.02,1.02,0.0,0.0,0.0,0.05,0.04,1.95,0.0,0.03,0.0,0.0,0.05,0.01,0.0,0.0,85.88,1.22,0.28,0.0,0.01,10.42,0.03,0.0,0.0,0.0,0.07,0.0,0.0,0.0,1.0,2048.0
in.chute,48.59,16.81,31.79,19.76,41.73,0.18,3.48,0.0,57.24,0.0,0.0,0.0,1.66,0.46,0.0,0.0,1.8,33.7,4.81,0.04,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.21,2.0,2048.0
in.chute,59.52,24.68,48.75,30.6,42.12,3.78,6.12,0.0,53.24,0.0,0.0,0.0,0.68,0.01,0.0,0.0,7.98,30.16,7.07,0.04,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.5,4.0,2048.0
in.chute,73.24,48.88,63.85,29.33,37.19,4.99,11.72,0.0,34.89,0.0,0.02,0.0,0.62,0.03,0.0,0.0,4.5,48.81,10.44,0.04,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.41,8.0,2048.0
in.chute,84.63,58.39,74.72,23.62,29.17,2.61,22.69,0.0,19.93,0.0,0.02,0.0,0.03,0.59,0.0,0.0,3.51,64.89,10.49,0.05,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.3,16.0,2048.0
in.chute,92.99,77.42,85.8,15.41,20.45,1.77,56.2,0.0,10.18,0.0,0.0,0.0,0.57,0.01,0.0,0.0,1.81,79.41,7.53,0.06,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.17,32.0,2048.0
