Benchmark,Max_MPI_(%),Min_MPI_(%),MPI_(%),MPI_Imb_(%),Max_Imb_(%),Min_Imb_(%),MPI_Time,MPI_Allreduce,MPI_Send,MPI_Bcast,MPI_Reduce,MPI_Comm_free,MPI_Allgather,MPI_Finalize,MPI_Wait,MPI_Comm_dup,MPI_Init,MPI_Comm_size,MPI_Comm_rank,MPI_Sendrecv,MPI_Irecv,MPI_Waitany,MPI_Cart_get,MPI_Cart_rank,MPI_Cart_create,MPI_Alltoall,MPI_Barrier,MPI_Alltoallv,Processes,Size
in.rhodo-e-6,10.92,5.93,8.29,1.65,2.8,0.52,4.68,6.96,13.51,4.53,0.0,0.0,0.01,0.12,31.86,0.06,28.68,0.0,0.0,1.02,0.29,12.75,0.0,0.0,0.08,0.03,0.02,0.07,4.0,32.0
in.rhodo-e-6,21.55,13.62,16.52,2.41,3.7,1.45,11.0,7.87,10.44,4.55,0.0,0.0,0.02,0.12,27.51,0.08,37.04,0.0,0.0,0.75,0.31,11.06,0.0,0.0,0.08,0.06,0.02,0.09,8.0,32.0
in.rhodo-e-6,41.32,24.74,30.87,3.28,6.59,1.01,28.17,7.47,6.41,3.98,0.0,0.0,0.02,0.12,19.76,0.1,53.24,0.0,0.0,0.43,0.27,7.88,0.0,0.0,0.11,0.04,0.01,0.15,16.0,32.0
in.rhodo-e-6,62.85,40.61,46.97,3.1,8.74,1.49,66.63,5.06,4.06,4.7,0.0,0.0,0.02,0.19,15.68,0.07,64.06,0.0,0.0,0.24,0.28,5.33,0.0,0.0,0.05,0.04,0.01,0.2,32.0,32.0
in.rhodo-e-6,84.61,63.96,68.76,1.99,4.39,0.62,187.6,3.17,2.31,1.76,0.0,0.0,0.01,0.26,6.39,0.05,81.87,0.0,0.0,0.19,0.2,2.87,0.0,0.0,0.03,0.19,0.03,0.69,64.0,32.0
in.rhodo-e-6,10.64,7.12,8.53,1.75,2.96,1.01,6.83,3.73,56.07,4.17,0.0,0.0,0.01,0.08,10.7,0.07,22.92,0.0,0.0,0.57,0.09,1.27,0.0,0.0,0.08,0.11,0.03,0.11,4.0,256.0
in.rhodo-e-6,20.85,12.91,14.77,1.29,2.13,0.97,12.97,2.69,25.98,3.91,0.0,0.0,0.02,0.09,10.08,0.08,50.33,0.0,0.0,0.44,0.1,5.9,0.0,0.0,0.07,0.09,0.03,0.19,8.0,256.0
in.rhodo-e-6,41.99,25.46,30.26,3.28,8.35,0.45,35.06,3.93,7.66,3.36,0.0,0.0,0.01,0.1,11.33,0.05,69.35,0.0,0.0,0.39,0.07,3.45,0.0,0.0,0.09,0.05,0.02,0.13,16.0,256.0
in.rhodo-e-6,58.93,35.04,41.96,5.34,11.69,1.59,64.64,4.86,3.42,5.8,0.0,0.0,0.01,0.18,12.41,0.08,67.96,0.0,0.0,0.25,0.08,4.34,0.0,0.0,0.11,0.11,0.03,0.36,32.0,256.0
in.rhodo-e-6,81.95,58.48,64.13,4.03,7.85,1.25,185.65,3.59,2.27,1.85,0.0,0.0,0.01,0.25,6.14,0.05,81.9,0.0,0.0,0.13,0.07,2.49,0.0,0.0,0.04,0.21,0.03,0.97,64.0,256.0
