Benchmark,Max_MPI_(%),Min_MPI_(%),MPI_(%),MPI_Imb_(%),Max_Imb_(%),Min_Imb_(%),MPI_Time,MPI_Alltoall,MPI_Waitany,MPI_Bcast,MPI_Cart_create,MPI_Comm_size,MPI_Finalize,MPI_Comm_rank,MPI_Comm_dup,MPI_Barrier,MPI_Reduce,MPI_Wait,MPI_Sendrecv,MPI_Init,MPI_Alltoallv,MPI_Cart_get,MPI_Irecv,MPI_Allreduce,MPI_Allgather,MPI_Comm_free,MPI_Cart_rank,MPI_Send,Processes,Size
in.rhodo-e-5,59.86,35.6,41.17,4.23,13.73,1.03,56.57,0.09,2.45,5.11,0.12,0.0,0.23,0.0,0.1,0.03,0.0,10.25,0.4,73.68,0.41,0.0,0.08,4.74,0.03,0.0,0.0,2.26,32.0,256.0
in.rhodo-e-5,83.21,61.19,67.33,4.79,7.53,1.49,186.29,0.2,1.97,1.55,0.04,0.0,0.26,0.0,0.05,0.03,0.0,6.13,0.14,82.42,0.75,0.0,0.06,4.94,0.02,0.0,0.0,1.45,64.0,256.0
in.rhodo-e-5,2.16,1.84,2.0,0.69,1.12,0.25,4.05,0.07,9.74,2.13,0.05,0.0,0.05,0.0,0.05,0.06,0.0,31.67,4.89,35.61,0.16,0.0,0.06,6.33,0.0,0.0,0.0,9.14,2.0,864.0
in.rhodo-e-5,4.97,4.16,4.51,2.08,3.84,1.19,9.47,0.16,1.34,4.38,0.07,0.0,0.05,0.0,0.03,0.03,0.0,16.59,4.81,16.36,0.15,0.0,0.07,6.9,0.01,0.0,0.0,49.04,4.0,864.0
in.rhodo-e-5,8.49,6.33,7.46,2.0,2.55,1.06,16.63,0.17,5.9,5.3,0.09,0.0,0.08,0.0,0.06,0.05,0.0,16.98,4.01,27.55,0.2,0.0,0.09,8.66,0.02,0.0,0.0,30.83,8.0,864.0
in.rhodo-e-5,18.13,10.75,12.86,2.39,5.65,1.22,32.11,0.12,5.75,4.77,0.1,0.0,0.11,0.0,0.11,0.13,0.01,14.86,2.38,49.06,0.27,0.0,0.1,6.63,0.03,0.0,0.0,15.59,16.0,864.0
in.rhodo-e-5,38.7,22.16,25.76,3.69,7.67,1.78,80.73,0.1,4.16,4.25,0.09,0.0,0.16,0.0,0.06,0.05,0.0,11.4,1.18,66.54,0.33,0.0,0.07,7.46,0.02,0.0,0.0,4.11,32.0,864.0
in.rhodo-e-5,64.28,39.24,44.69,5.79,8.86,2.36,212.1,0.19,2.84,2.34,0.04,0.0,0.23,0.0,0.04,0.04,0.0,10.25,0.53,73.0,0.84,0.0,0.07,6.75,0.02,0.0,0.0,2.81,64.0,864.0
in.rhodo-e-5,22.62,16.27,19.63,2.25,2.75,1.8,1.62,3.13,0.0,4.99,0.4,0.0,0.0,0.0,0.1,0.54,0.0,0.34,2.34,85.44,0.76,0.0,0.0,1.61,0.0,0.0,0.0,0.34,2.0,2048.0
in.rhodo-e-5,4.0,3.21,3.51,1.89,3.08,1.32,17.23,0.49,0.88,1.6,0.11,0.0,0.03,0.0,0.02,0.28,0.0,13.58,1.8,7.73,0.1,0.0,0.05,5.1,0.0,0.0,0.0,68.23,4.0,2048.0
