Benchmark,Size,Processes,Section,min time,avg time,max time,%varavg,%total
in.chain,864,16,Comm,0.62943,0.95562,1.1885,21.0,31.92
in.chain,864,16,Output,0.00021424,0.0010878,0.0024468,2.3,0.04
in.chain,864,16,Modify,0.31215,0.35715,0.58533,10.3,11.93
in.chain,864,16,Other,,0.5086,,,16.98
in.chain,864,32,Pair,0.1895,0.23366,0.4449,8.4,14.67
in.chain,864,32,Bond,0.032031,0.041392,0.11255,6.4,2.60
in.chain,864,32,Neigh,0.27236,0.31015,0.33095,2.9,19.48
in.chain,864,32,Comm,0.35682,0.58464,0.81453,25.3,36.72
in.chain,864,32,Output,9.9097e-05,0.00026088,0.0004574,0.0,0.02
in.chain,864,32,Modify,0.14237,0.17562,0.19154,3.0,11.03
in.chain,864,32,Other,,0.2465,,,15.48
in.chain,864,64,Pair,0.093583,0.10821,0.17411,4.2,12.88
in.chain,864,64,Bond,0.015617,0.018164,0.020443,1.5,2.16
in.chain,864,64,Neigh,0.1893,0.19035,0.19139,0.1,22.65
in.chain,864,64,Comm,0.13678,0.22017,0.35361,15.7,26.20
in.chain,864,64,Output,0.00011999,0.00020933,0.00032486,0.0,0.02
in.chain,864,64,Modify,0.069912,0.081166,0.11867,3.4,9.66
in.chain,864,64,Other,,0.222,,,26.42
in.chain,2048,4,Pair,3.5708,4.4874,7.1871,73.6,16.89
in.chain,2048,4,Bond,0.70546,0.89851,1.4366,32.8,3.38
in.chain,2048,4,Neigh,6.2803,6.4866,6.5795,4.8,24.41
in.chain,2048,4,Comm,5.5058,8.7891,9.9703,64.0,33.08
in.chain,2048,4,Output,0.0013172,0.013271,0.017337,6.0,0.05
in.chain,2048,4,Modify,2.703,3.4133,5.3796,61.5,12.84
in.chain,2048,4,Other,,2.485,,,9.35
in.chain,2048,8,Pair,1.8054,2.027,3.4635,38.1,15.94
in.chain,2048,8,Bond,0.36025,0.4173,0.75479,19.8,3.28
in.chain,2048,8,Neigh,2.8603,3.0005,3.0391,3.4,23.60
in.chain,2048,8,Comm,2.546,4.2775,4.5946,31.7,33.64
in.chain,2048,8,Output,0.00074829,0.014702,0.016761,4.3,0.12
