Benchmark,MPI_(%),MPI_Time,MPI_Allreduce,MPI_Waitany,MPI_Sendrecv,MPI_Bcast,MPI_Alltoall,MPI_Allgather,MPI_Cart_get,MPI_Comm_rank,MPI_Barrier,MPI_Finalize,MPI_Comm_dup,MPI_Reduce,MPI_Send,MPI_Comm_size,MPI_Init,MPI_Comm_free,MPI_Irecv,MPI_Cart_rank,MPI_Alltoallv,MPI_Wait,MPI_Cart_shift,MPI_Cart_create,Processes,Size
in.rhodo-double,0.48,0.09,0.74,0.0,0.0,0.73,0.13,0.01,0.0,0.01,0.04,0.0,1.05,0.0,0.0,0.0,51.67,0.01,0.0,0.0,45.47,0.0,0.0,0.12,1.0,2048.0
in.rhodo-double,17.32,2.35,11.32,0.0,1.03,19.91,5.6,0.0,0.0,0.0,1.35,0.0,0.05,0.0,0.22,0.0,49.1,0.0,0.0,0.0,8.75,1.8,0.0,0.86,2.0,2048.0
in.rhodo-double,30.81,369.56,18.75,2.61,2.51,0.51,0.18,0.01,0.0,0.0,0.08,0.01,0.0,0.0,14.83,0.0,0.31,0.0,0.02,0.0,0.01,60.14,0.0,0.02,4.0,2048.0
in.rhodo-double,41.64,498.84,19.6,2.96,2.73,1.67,0.15,0.05,0.0,0.0,0.14,0.0,0.04,0.0,5.87,0.0,0.61,0.0,0.01,0.0,0.08,66.07,0.0,0.02,8.0,2048.0
in.rhodo-double,49.8,636.14,21.34,21.17,1.6,1.29,0.39,0.0,0.0,0.0,0.1,0.02,0.0,0.0,5.1,0.0,1.61,0.0,0.02,0.0,0.33,46.98,0.0,0.04,16.0,2048.0
in.rhodo-double,56.59,819.97,22.99,27.88,0.9,7.5,0.48,0.13,0.0,0.0,0.2,0.07,0.06,0.0,1.9,0.0,4.53,0.0,0.02,0.0,1.58,31.56,0.0,0.18,32.0,2048.0
in.rhodo-double,59.22,1076.68,26.56,22.42,0.83,2.14,0.89,0.0,0.0,0.0,0.24,0.04,0.01,0.0,0.94,0.0,13.49,0.0,0.03,0.0,2.08,30.17,0.0,0.16,64.0,2048.0
in.rhodo-single,0.11,0.08,5.09,0.0,0.0,0.2,0.03,0.01,0.0,0.0,0.05,23.02,0.68,0.02,0.0,0.0,68.04,1.37,0.0,0.0,1.41,0.0,0.0,0.08,1.0,32.0
in.rhodo-single,24.84,23.99,23.4,4.33,2.95,4.51,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.0,4.78,0.0,4.89,0.0,0.01,0.0,0.11,54.95,0.0,0.0,2.0,32.0
in.rhodo-single,57.35,68.88,13.67,22.34,4.06,1.31,0.0,0.01,0.0,0.0,0.0,0.05,0.0,0.0,1.63,0.0,1.81,0.0,0.02,0.0,0.0,55.09,0.0,0.0,4.0,32.0
in.rhodo-single,68.53,106.8,23.59,16.41,1.03,8.62,0.07,0.0,0.0,0.0,0.16,0.32,0.01,0.0,0.47,0.0,2.99,0.0,0.03,0.0,0.01,46.28,0.0,0.0,8.0,32.0
in.rhodo-single,78.79,173.13,35.42,20.71,0.38,12.59,0.15,0.19,0.0,0.0,0.0,0.03,0.01,0.0,0.6,0.0,5.95,0.0,0.04,0.0,0.01,23.92,0.0,0.01,16.0,32.0
