Benchmark,Max_MPI_(%),Min_MPI_(%),MPI_(%),MPI_Imb_(%),Max_Imb_(%),Min_Imb_(%),MPI_Time,MPI_Cart_create,MPI_Wait,MPI_Allreduce,MPI_Cart_shift,MPI_Send,MPI_Comm_free,MPI_Comm_size,MPI_Scan,MPI_Type_size,MPI_Cart_get,MPI_Reduce,MPI_Barrier,MPI_Cart_rank,MPI_Sendrecv,MPI_Irecv,MPI_Bcast,MPI_Finalize,MPI_Init,MPI_Comm_rank,Processes,Size
in.lj-single,98.66,97.07,97.89,63.87,72.28,33.19,37.29,0.01,68.16,0.05,0.0,0.09,0.0,0.0,0.01,0.0,0.0,0.0,0.41,0.0,2.28,0.01,1.64,0.14,27.19,0.0,16.0,32.0
in.lj-single,99.38,98.18,98.78,46.59,51.52,21.26,75.15,0.03,47.01,0.05,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.01,1.64,0.22,48.56,0.0,32.0,32.0
in.lj-single,99.73,97.84,99.22,7.17,7.97,2.38,163.02,0.03,7.5,0.07,0.0,0.1,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.03,0.01,0.77,1.48,90.01,0.0,64.0,32.0
in.lj-single,0.95,0.95,0.95,0.0,0.0,0.0,0.08,0.09,0.0,0.79,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.02,0.66,0.0,0.0,0.0,0.08,25.84,72.48,0.0,1.0,256.0
in.lj-single,26.92,23.77,25.42,6.14,6.65,5.67,2.64,0.01,32.09,0.02,0.0,18.35,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,6.45,0.01,1.71,0.07,41.28,0.0,2.0,256.0
in.lj-single,64.92,39.95,54.88,34.46,56.08,13.39,7.34,0.01,60.65,1.16,0.0,7.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.72,0.02,8.4,0.23,16.35,0.0,4.0,256.0
in.lj-single,74.04,46.42,59.7,27.32,38.26,4.51,7.95,0.02,48.96,1.73,0.0,7.53,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.58,0.02,1.35,0.29,39.5,0.0,8.0,256.0
in.lj-single,90.37,68.3,84.45,47.64,55.6,19.92,29.86,0.01,59.8,1.09,0.0,0.34,0.0,0.0,0.01,0.0,0.0,0.76,0.0,0.0,2.04,0.03,1.78,0.13,34.0,0.0,16.0,256.0
in.lj-single,96.5,84.01,93.49,44.14,48.98,21.04,79.17,0.02,36.71,9.37,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.05,0.0,0.0,1.37,0.01,3.13,0.81,47.3,0.0,32.0,256.0
in.lj-single,98.92,94.45,97.52,24.1,26.25,10.32,206.22,1.2,11.79,10.06,0.0,0.13,0.0,0.0,0.26,0.0,0.0,0.0,1.98,0.0,0.49,0.01,1.1,1.48,71.51,0.0,64.0,256.0
in.lj-single,0.28,0.28,0.28,0.0,0.0,0.0,0.08,0.08,0.0,0.78,0.0,0.0,0.01,0.0,0.02,0.0,0.0,0.02,0.03,0.0,0.0,0.0,0.71,25.43,72.91,0.0,1.0,864.0
in.lj-single,25.1,22.49,23.81,9.17,9.29,9.05,8.32,0.0,50.45,9.38,0.0,21.83,0.0,0.0,0.0,0.0,0.0,0.38,1.07,0.0,2.1,0.01,0.94,0.31,13.52,0.0,2.0,864.0
in.lj-single,57.69,17.1,38.23,28.47,50.77,6.01,12.73,0.01,34.6,4.47,0.0,46.14,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,3.26,0.02,2.59,0.26,8.65,0.0,4.0,864.0
in.lj-single,68.71,44.94,61.64,44.9,57.38,13.5,27.86,0.01,70.11,5.41,0.0,6.73,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,5.24,0.03,1.1,0.09,11.27,0.0,8.0,864.0
in.lj-single,80.48,58.08,74.08,51.27,60.3,18.69,51.91,0.99,61.1,7.4,0.0,2.59,0.0,0.0,0.01,0.0,0.0,0.0,1.48,0.0,2.59,0.05,3.01,1.0,19.78,0.0,16.0,864.0
in.lj-single,92.64,77.14,86.85,53.83,59.52,22.62,118.44,0.02,54.17,5.22,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.7,0.01,0.0,4.28,0.03,4.53,0.13,30.6,0.0,32.0,864.0
in.lj-single,96.22,83.03,91.75,22.26,24.79,7.75,207.06,0.03,25.4,0.49,0.0,0.2,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,1.72,0.02,0.52,1.14,70.46,0.0,64.0,864.0
in.lj-single,2.85,2.85,2.85,0.0,0.0,0.0,0.06,0.11,0.0,0.09,0.0,0.0,0.01,0.0,0.02,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.1,0.0,99.62,0.01,1.0,2048.0
in.lj-single,67.67,39.91,57.58,5.19,6.31,4.54,1.45,0.01,2.3,1.3,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,4.46,0.0,5.55,0.0,86.2,0.0,2.0,2048.0
in.lj-single,57.37,13.88,35.78,30.33,53.97,6.68,28.31,0.0,19.09,1.54,0.0,69.47,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,5.38,0.03,0.15,0.12,4.02,0.0,4.0,2048.0
in.lj-single,63.1,24.69,51.95,43.15,55.4,9.05,47.22,0.18,80.96,1.26,0.0,6.1,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,2.42,0.05,1.39,0.29,7.1,0.0,8.0,2048.0
in.lj-single,69.71,34.32,60.63,45.54,53.81,10.78,65.88,0.0,69.08,2.15,0.0,4.04,0.0,0.0,0.28,0.0,0.0,0.0,0.59,0.0,3.79,0.08,3.92,0.09,15.97,0.0,16.0,2048.0
in.lj-single,82.67,63.56,75.29,47.77,53.0,15.33,128.23,0.02,58.33,7.34,0.0,0.84,0.0,0.0,0.0,0.0,0.0,0.65,0.81,0.0,2.65,0.05,0.71,0.12,28.48,0.0,32.0,2048.0
in.lj-single,91.0,68.87,83.19,28.03,31.27,7.21,236.56,0.02,30.74,5.52,0.0,0.32,0.0,0.0,0.3,0.0,0.0,0.0,0.23,0.0,1.92,0.03,0.51,0.42,59.97,0.0,64.0,2048.0
