Benchmark,Size,GPUs,Section,min time,avg time,max time,%varavg,%total
in.lj,864,6,Pair,0.072961,0.11054,0.14434,6.8,35.62
in.lj,864,6,Neigh,3.853e-06,6.7452e-06,1.2305e-05,0.0,0.00
in.lj,864,6,Comm,0.13726,0.17137,0.20878,5.4,55.22
in.lj,864,6,Output,0.00023329,0.0014921,0.0024585,1.5,0.48
in.lj,864,6,Modify,0.014677,0.015333,0.016474,0.3,4.94
in.lj,864,6,Other,,0.01161,,,3.74
in.lj,864,6,Pair,0.13643,0.20896,0.27707,10.2,45.61
in.lj,864,6,Neigh,3.882e-06,6.4645e-06,1.6488e-05,0.0,0.00
in.lj,864,6,Comm,0.15163,0.21943,0.29147,9.9,47.90
in.lj,864,6,Output,0.00025317,0.0017316,0.0032666,2.0,0.38
in.lj,864,6,Modify,0.014619,0.015262,0.0165,0.3,3.33
in.lj,864,6,Other,,0.01271,,,2.77
in.lj,864,8,Pair,0.11028,0.1259,0.14513,2.5,41.11
in.lj,864,8,Neigh,3.867e-06,5.8908e-06,1.3216e-05,0.0,0.00
in.lj,864,8,Comm,0.13119,0.15141,0.1661,2.3,49.44
in.lj,864,8,Output,0.00022722,0.0010379,0.0018424,1.5,0.34
in.lj,864,8,Modify,0.015131,0.015909,0.017126,0.4,5.19
in.lj,864,8,Other,,0.012,,,3.92
in.lj,864,8,Pair,0.18614,0.20752,0.226,2.0,52.49
in.lj,864,8,Neigh,4.56e-06,6.7652e-06,1.3587e-05,0.0,0.00
in.lj,864,8,Comm,0.13968,0.15835,0.18042,2.3,40.05
in.lj,864,8,Output,0.00023308,0.0011215,0.0021987,1.6,0.28
in.lj,864,8,Modify,0.015193,0.015625,0.016455,0.2,3.95
in.lj,864,8,Other,,0.01274,,,3.22
in.lj,864,8,Pair,0.09194,0.10331,0.11638,1.6,37.73
in.lj,864,8,Neigh,4.158e-06,7.662e-06,2.3851e-05,0.0,0.00
in.lj,864,8,Comm,0.12868,0.14191,0.1538,1.4,51.83
in.lj,864,8,Output,0.00022127,0.0010226,0.0016679,1.3,0.37
in.lj,864,8,Modify,0.014828,0.015488,0.016214,0.2,5.66
in.lj,864,8,Other,,0.01207,,,4.41
in.lj,2048,1,Pair,0.4921,0.69292,0.88885,14.8,45.56
in.lj,2048,1,Neigh,3.208e-06,4.0845e-06,5.371e-06,0.0,0.00
in.lj,2048,1,Comm,0.42932,0.62001,0.82768,15.5,40.77
in.lj,2048,1,Output,0.0007569,0.0075208,0.014598,4.8,0.49
in.lj,2048,1,Modify,0.12015,0.12696,0.13416,1.1,8.35
in.lj,2048,1,Other,,0.07341,,,4.83
in.lj,2048,1,Pair,0.43026,0.46638,0.51296,3.2,42.92
in.lj,2048,1,Neigh,3.252e-06,4.4882e-06,6.46e-06,0.0,0.00
in.lj,2048,1,Comm,0.36815,0.40924,0.43672,3.1,37.66
in.lj,2048,1,Output,0.00078023,0.007997,0.015276,5.0,0.74
in.lj,2048,1,Modify,0.12613,0.13137,0.13705,0.9,12.09
in.lj,2048,1,Other,,0.07174,,,6.60
in.lj,2048,1,Pair,0.50273,0.54817,0.59221,3.3,43.37
in.lj,2048,1,Neigh,3.537e-06,4.2404e-06,5.203e-06,0.0,0.00
in.lj,2048,1,Comm,0.45851,0.50611,0.5489,3.6,40.05
in.lj,2048,1,Output,0.00069195,0.0082733,0.015904,5.1,0.65
in.lj,2048,1,Modify,0.12193,0.12952,0.13843,1.4,10.25
in.lj,2048,1,Other,,0.07174,,,5.68
in.lj,2048,2,Pair,0.50187,0.62491,0.72154,4.6,48.62
in.lj,2048,2,Neigh,4.255e-06,8.2368e-06,1.5611e-05,0.0,0.00
in.lj,2048,2,Comm,0.46703,0.56943,0.68944,5.0,44.30
in.lj,2048,2,Output,0.0005718,0.0056572,0.011349,4.1,0.44
in.lj,2048,2,Modify,0.040178,0.041498,0.042865,0.3,3.23
in.lj,2048,2,Other,,0.04384,,,3.41
in.lj,2048,2,Pair,0.44893,0.49204,0.53985,3.2,47.31
in.lj,2048,2,Neigh,4.711e-06,6.8227e-06,1.109e-05,0.0,0.00
in.lj,2048,2,Comm,0.40878,0.45856,0.50505,3.5,44.09
in.lj,2048,2,Output,0.00058668,0.0056032,0.01114,3.8,0.54
in.lj,2048,2,Modify,0.040781,0.042409,0.043947,0.3,4.08
in.lj,2048,2,Other,,0.04151,,,3.99
in.lj,2048,2,Pair,0.35836,0.40984,0.46328,2.9,46.22
in.lj,2048,2,Neigh,4.395e-06,8.2617e-06,2.0715e-05,0.0,0.00
in.lj,2048,2,Comm,0.33073,0.38694,0.43941,3.0,43.64
in.lj,2048,2,Output,0.00060912,0.0055469,0.011345,3.7,0.63
in.lj,2048,2,Modify,0.041724,0.042957,0.044285,0.3,4.84
in.lj,2048,2,Other,,0.0414,,,4.67
in.lj,2048,4,Pair,0.31237,0.36441,0.4225,4.3,45.60
in.lj,2048,4,Neigh,5.533e-06,8.548e-06,2.2608e-05,0.0,0.00
in.lj,2048,4,Comm,0.28382,0.34507,0.39631,4.6,43.18
in.lj,2048,4,Output,0.00072883,0.0032287,0.0060657,2.7,0.40
in.lj,2048,4,Modify,0.04164,0.044327,0.047236,0.5,5.55
in.lj,2048,4,Other,,0.04211,,,5.27
in.lj,2048,4,Pair,0.50423,0.60262,0.71685,8.1,47.34
in.lj,2048,4,Neigh,5.519e-06,9.9932e-06,1.9425e-05,0.0,0.00
in.lj,2048,4,Comm,0.47101,0.58012,0.68332,8.3,45.57
in.lj,2048,4,Output,0.00058521,0.0050071,0.009534,3.8,0.39
in.lj,2048,4,Modify,0.040917,0.041992,0.043591,0.3,3.30
in.lj,2048,4,Other,,0.04333,,,3.40
in.lj,2048,4,Pair,0.38277,0.45043,0.52111,5.8,46.31
