;EXEC_TIME;PERFORMANCE;POWER;NAME;PROCS;SIZE;POWEREFF;PAREFF
39;2.9871095180511475;83.31203703703704;229.48065337995337;eam;32;864;0.36304601634150174;88.78374644774236
47;3.5060603618621826;140.31064814814815;239.70313082125602;eam;64;864;0.5853517543447367;74.76293613830124
40;22.212840986251834;4.766666666666667;218.80191666666664;eam;4;2048;0.021785305811230327;100.0
48;11.616406345367432;9.511111111111111;228.0339153073286;eam;8;2048;0.041709195311112744;99.76689976689977
26;6.804274368286133;18.245833333333334;240.26830767723217;eam;16;2048;0.07593940919517414;95.69493006993008
36;4.755811929702759;33.980555555555554;232.19248552971575;eam;32;2048;0.14634649126578542;89.10984848484848
44;4.5015874862670895;58.10601851851852;237.00304993519504;eam;64;2048;0.2451699188445328;76.18796134421135
59;49.27450575828552;205.87871666666663;198.4157603092783;lj;1;32;1.0376127196032994;100.0
62;26.030931854248045;398.3758763888889;203.35633333333334;lj;2;32;1.9590040293256445;96.75013591470211
70;13.726392984390259;773.2746666666667;208.92623936170213;lj;4;32;3.7011850164398936;93.89929653567073
78;7.9017249584198;1426.2615064814815;211.28299710915817;lj;8;32;6.750479338120197;86.59597805772147
56;5.321658706665039;2414.356048148148;216.54158385057934;lj;16;32;11.14961849458962;73.29424597763227
66;3.8459606647491453;4645.927112037037;224.63280795665233;lj;32;32;20.682317753573944;70.51978203566489
74;4.046918344497681;7728.528474537037;262.4714817959818;lj;64;32;29.44521218706875;58.655046704103
58;400.93965926170347;24.989080555555557;201.87698677248676;lj;1;256;0.12378370093129033;100.0
61;198.31686925888062;50.68258518518519;205.83062108262106;lj;2;256;0.2462344276988847;101.40946377060173
69;101.45760459899903;99.37060462962963;220.5987537688442;lj;4;256;0.45045859476502637;99.4140264671899
77;51.759135246276855;196.6518986111111;250.70197959183673;lj;8;256;0.7844050490996379;98.36891466150381
55;27.426558017730713;381.5742041666666;306.26149999999996;lj;16;256;1.2459097998496926;95.43523503154543
65;15.553598260879516;721.5531606481482;352.7728239219225;lj;32;256;2.0453762640396755;90.23355709356683
73;11.767807102203369;1107.9149773148147;341.38473257164463;lj;64;256;3.2453559623739245;69.27494383820124
60;1420.0349959373475;7.047999074074074;198.14410848179938;lj;1;864;0.03557006629203649;100.0
63;704.921805524826;14.210297685185186;204.28726578560943;lj;2;864;0.06956036946570264;100.81086515361137
71;356.9186466217041;28.090400000000002;222.42400283687942;lj;4;864;0.1262921251381347;99.63962716499917
79;183.95562896728515;54.650867129629624;254.37821082621082;lj;8;864;0.21484099189205583;96.92621011164319
57;98.05252013206483;103.22716064814816;312.8054362416107;lj;16;864;0.3300043691325606;91.5394209434803
67;55.05464315414429;187.54506990740742;423.98793877551014;lj;32;864;0.4423358608951075;83.15528099549925
75;35.165832138061525;308.5050828703703;482.59366666666665;lj;64;864;0.639264673739406;68.39376494218413
68;862.21191239357;11.613606018518519;223.3492307692308;lj;4;2048;0.05199751966246056;100.0
76;447.9041836261749;22.37986064814815;255.10741423570593;lj;8;2048;0.08772720587207367;96.35190229659186
54;239.39752173423767;41.989468055555555;314.62069911504426;lj;16;2048;0.13346060247676736;90.38852357442015
64;135.70079178810118;74.67983796296296;423.299128;lj;32;2048;0.17642332105858477;80.3796833686733
72;88.00836372375488;117.30885648148148;493.5180939597316;lj;64;2048;0.23769920073295886;63.13115425477357
105;38.60421562194824;15.96327861952862;200.8453409090909;rhodo;1;32;0.07948045270691201;100.0
106;20.442131686210633;31.29976851851852;210.0069325689436;rhodo;2;32;0.14904159655892815;98.03677948785551
108;11.059552478790284;60.20081018518518;225.65086363636365;rhodo;4;32;0.26678741315255405;94.28014698612529
110;6.427352666854858;114.08622685185188;252.77706043956042;rhodo;8;32;0.4513314090031131;89.33489602214681
104;4.288521480560303;208.5752314814815;293.481898989899;rhodo;16;32;0.7106919786172577;81.66212141185777
107;3.723758816719055;347.4415509259259;340.06438888888886;rhodo;32;32;1.021693427121672;68.01577999868174
109;4.338571810722351;513.4949845679012;293.6464181577477;rhodo;64;32;1.7486846520704031;50.26134871854023
86;316.5461243220738;1.9105489417989416;195.82170976101494;rhodo;1;256;0.009756573692113182;100.0
88;160.42228512763978;3.7870370370370376;197.5519468438538;rhodo;2;256;0.019169828986956697;99.10861099091305
94;82.30871343612671;7.424768518518518;211.7939731543624;rhodo;4;256;0.03505656184610647;97.1549112938122
100;42.139067602157596;14.712962962962964;241.93270833333332;rhodo;8;256;0.060814277921824186;96.2613587191692
