;EXEC_TIME;PERFORMANCE;POWER;NAME;PROCS;SIZE;PAREFF
235;3.5060603618621826;140.31064814814815;239.70313082125602;eam;64;864;74.76293613830123
228;22.212840986251834;4.766666666666667;218.80191666666664;eam;4;2048;100.0
236;11.616406345367432;9.511111111111111;228.0339153073286;eam;8;2048;99.76689976689977
214;6.804274368286133;18.245833333333334;240.26830767723217;eam;16;2048;95.69493006993007
224;4.755811929702759;33.980555555555554;232.19248552971575;eam;32;2048;89.10984848484848
232;4.5015874862670895;58.10601851851852;237.00304993519504;eam;64;2048;76.18796134421135
241;1.1351097583770753;215.7968152777778;;lj-double;1;32;100.0
242;1.209906768798828;344.63145694444444;;lj-double;2;32;79.85091357831861
244;1.0092280864715577;549.0836791666666;;lj-double;4;32;63.61118889311174
246;1.3172922134399414;991.2217666666666;;lj-double;8;32;57.41638062352467
240;2.1162792682647704;1406.582212962963;;lj-double;16;32;40.73803786076452
243;3.1025869369506838;2131.6293884259258;;lj-double;32;32;30.868582700149727
245;6.2675505638122555;3058.1969189814813;;lj-double;64;32;22.143202992860086
257;5.014508199691773;24.444358796296296;;lj-double;1;256;100.0
259;2.9489508628845216;53.15057407407407;;lj-double;2;256;108.71746425626681
265;2.0090598106384276;83.25285370370369;;lj-double;4;256;85.14526234608965
271;1.5391153335571288;158.74107407407408;;lj-double;8;256;81.17469729770835
255;2.0533629417419434;263.6758208333334;;lj-double;16;256;67.417349497342
262;3.8900719165802;408.31664027777776;;lj-double;32;256;52.19975338692001
268;6.418962907791138;649.4536212962964;;lj-double;64;256;41.5135161340054
258;14.632358503341674;7.527033333333333;;lj-double;1;864;100.0
260;7.866855049133301;15.09214814814815;;lj-double;2;864;100.25296474583712
266;4.860166263580322;25.54574398148148;;lj-double;4;864;84.84665488444367
272;3.133708953857422;46.12602222222222;;lj-double;8;864;76.60060109265417
256;2.419931507110596;83.26661944444443;;lj-double;16;864;69.13963954737959
263;3.595479393005371;141.7421074074074;;lj-double;32;864;58.8471003159476
269;6.677375745773316;242.28368425925927;;lj-double;64;864;50.29448388100127
264;9.905016469955445;11.482488425925924;;lj-double;4;2048;100.0
270;5.760591459274292;21.324831944444444;;lj-double;8;2048;92.85805982741434
254;3.882410764694214;37.59428749999999;;lj-double;16;2048;81.85135073839291
261;3.2714163303375243;61.07338657407407;;lj-double;32;2048;66.48535612300131
267;3.624856185913086;98.98971805555556;;lj-double;64;2048;53.88080657240747
248;1.1332242012023925;216.09871574074074;;lj-single;1;32;100.0
249;1.2332183837890625;329.540186574074;;lj-single;2;32;76.24760412029286
251;1.02584547996521;571.4798708333333;;lj-single;4;32;66.11328865079335
253;1.368379497528076;1032.2016925925925;;lj-single;8;32;59.70660729370968
247;2.093892049789429;1664.187038888889;;lj-single;16;32;48.131563195100654
250;3.6975934982299803;2410.0135805555556;;lj-single;32;32;34.851167039195175
252;6.2812543392181395;3331.6514305555556;;lj-single;64;32;24.08947847005475
276;4.820429277420044;25.520191203703703;;lj-single;1;256;100.0
278;2.9698771476745605;51.66286111111111;;lj-single;2;256;101.21958079924842
284;2.0023691177368166;83.99061435185186;;lj-single;4;256;82.2785903928322
290;1.5255937099456787;165.5696837962963;;lj-single;8;256;81.09739582019053
274;2.0501450061798097;314.5319759259259;;lj-single;16;256;77.03017715838037
281;3.8116055488586427;520.6738509259259;;lj-single;32;256;63.75758595050727
287;6.476492929458618;946.7082273148147;;lj-single;64;256;57.963186614554814
277;14.7353280544281;7.452176851851852;;lj-single;1;864;100.0
279;7.936646556854248;14.904059259259258;;lj-single;2;864;99.99802444003745
285;4.379917287826538;28.904817129629627;;lj-single;4;864;96.96769717175606
291;3.047082614898682;47.845381018518516;;lj-single;8;864;80.25403511228572
275;2.278361701965332;91.31099907407408;;lj-single;16;864;76.58081062195224
282;3.365827798843384;167.27243425925923;;lj-single;32;864;70.14411593443177
288;6.673793125152588;307.6521560185185;;lj-single;64;864;64.50551340035369
283;9.50686068534851;11.9756125;;lj-single;4;2048;100.0
289;5.365559673309326;23.192526851851852;;lj-single;8;2048;96.8323200665179
273;3.8879347324371336;37.38802777777778;;lj-single;16;2048;78.05034560398848
280;3.1079538345336912;68.19226620370371;;lj-single;32;2048;71.17826562493536
