TAG,EXEC_TIME,PERFORMANCE,POWER
13x_6n_1ppn_17ont_p220_bm2,59.978774309158325,11.562504,191.44375
13x_7n_1ppn_14ont_p220_bm2,59.92320990562439,12.507469,190.18729166666668
13x_8n_1ppn_13ont_p220_bm2,61.59517526626587,12.976391,197.843125
16x_128n_1ppn_1ont,59.06154704093933,57.559406,
16x_128n_1ppn_1ont_p220,55.84598207473755,56.205408,483.4464583333333
16x_16n_1ppn_8ont,72.55451488494873,37.780185,
16x_16n_1ppn_8ont_p220,70.98580765724182,38.331108,494.0004166666667
16x_16n_2ppn_4ont,63.92679023742676,56.345564,
16x_16n_2ppn_4ont_p220,64.86366724967957,56.312962,494.18
16x_1n_1ppn_128ont_p220,60.917359828948975,1.724266,427.925
16x_2n_2ppn_32ont,61.67624235153198,11.541536,
16x_2n_2ppn_32ont_p220,60.89558982849121,10.992405,464.836875
16x_32n_1ppn_4ont,60.99981379508972,81.582729,
16x_32n_1ppn_4ont_p220,63.67151308059693,76.565318,492.356875
16x_32n_2ppn_2ont,62.590818643569946,90.158902,
16x_32n_2ppn_2ont_p220,63.4336416721344,89.807176,492.4225
16x_4n_1ppn_32ont,66.46922516822815,14.8473895,495.3564583333333
16x_4n_1ppn_32ont_p220,67.40559267997742,14.620278,495.2191666666666
16x_4n_2ppn_16ont,58.2481210231781,22.878596,
16x_4n_2ppn_16ont_p220,60.7972571849823,20.050505,485.0075
16x_64n_1ppn_2ont,52.23578333854675,80.193786,
16x_64n_1ppn_2ont_p220,59.41317009925842,83.0765625,490.4164583333333
16x_64n_2ppn_1ont,58.135560035705566,79.94429,
16x_64n_2ppn_1ont_p220,59.41526484489441,82.551307,490.8045833333333
16x_8n_1ppn_16ont,68.51571202278137,26.317482,
16x_8n_1ppn_16ont_p220,66.44372296333313,28.866784,495.09020833333335
16x_8n_2ppn_8ont,61.65155220031738,39.519125,
16x_8n_2ppn_8ont_p220,62.47830605506897,34.977415,494.15
256.128.128x_4n_1ppn_1ont_p190,175.51370573043823,11.2587654,236.42949532896046
256.128.128x_4n_1ppn_2ont_p190,132.31213414669037,20.2661148,265.31652399999996
256.128.128x_4n_ssocket_1ont_p110,184.612225484848,10.4548286,141.15375704915238
256.128.128x_4n_ssocket_2ont_p110,152.20494470596313,16.9567728,163.74666445182726
256.256.128x_2n_1ppn_1ont_p190,284.2214509963989,5.8167941999999995,208.78877451708323
256.256.128x_2n_1ppn_2ont_p190,217.16843276023866,10.8206412,225.41492537313434
256.256.128x_2n_ssocket_1ont_p110,289.5698405742645,5.6926528,121.81792391304347
256.256.128x_2n_ssocket_2ont_p110,199.02561860084535,10.145508,133.42529924297924
256.256.256x_1n_ssocket_1ont_p110,435.048991727829,3.0441580000000004,112.70216666666666
