TIMESTAMP,BENCH,TAG,CMD,EXEC_TIME,RES_FILE,ARCH_FILE,PERFORMANCE
01-02-2022_15:24:09.035963,hpcg_cpu,64x_60s_mpi_n128_ppn1_ont1,mpiexec.hydra -n 128 -ppn 1 env OMP_NUM_THREADS=1 KMP_AFFINITY=granularity=fine;compact;1;0 /opt/intel/oneapi/mkl/2022.0.2/benchmarks/hpcg/bin/xhpcg_avx2,0.0015006065368652, hpcg_cpu01-02-2022_15:24:09.035963_out.txt,hpcg_cpu01-02-2022_15:24:09.035963_arch.txt,54.855206
01-02-2022_15:33:10.684614,hpcg_cpu,64x_60s_mpi_n64_ppn1_ont2,mpiexec.hydra -n 64 -ppn 1 env OMP_NUM_THREADS=2 KMP_AFFINITY=granularity=fine;compact;1;0 /opt/intel/oneapi/mkl/2022.0.2/benchmarks/hpcg/bin/xhpcg_avx2,0.0015027523040771, hpcg_cpu01-02-2022_15:33:10.684614_out.txt,hpcg_cpu01-02-2022_15:33:10.684614_arch.txt,56.533915
01-02-2022_15:34:59.237856,hpcg_cpu,64x_60s_mpi_n32_ppn1_ont4,mpiexec.hydra -n 32 -ppn 1 env OMP_NUM_THREADS=4 KMP_AFFINITY=granularity=fine;compact;1;0 /opt/intel/oneapi/mkl/2022.0.2/benchmarks/hpcg/bin/xhpcg_avx2,0.0014784336090087, hpcg_cpu01-02-2022_15:34:59.237856_out.txt,hpcg_cpu01-02-2022_15:34:59.237856_arch.txt,59.123893
01-02-2022_15:37:52.448755,hpcg_cpu,64x_60s_mpi_n16_ppn1_ont8,mpiexec.hydra -n 16 -ppn 1 env OMP_NUM_THREADS=8 KMP_AFFINITY=granularity=fine;compact;1;0 /opt/intel/oneapi/mkl/2022.0.2/benchmarks/hpcg/bin/xhpcg_avx2,0.0014708042144775, hpcg_cpu01-02-2022_15:37:52.448755_out.txt,hpcg_cpu01-02-2022_15:37:52.448755_arch.txt,60.437295
01-02-2022_15:39:26.316387,hpcg_cpu,64x_60s_mpi_n8_ppn1_ont16,mpiexec.hydra -n 8 -ppn 1 env OMP_NUM_THREADS=16 KMP_AFFINITY=granularity=fine;compact;1;0 /opt/intel/oneapi/mkl/2022.0.2/benchmarks/hpcg/bin/xhpcg_avx2,0.0014529228210449, hpcg_cpu01-02-2022_15:39:26.316387_out.txt,hpcg_cpu01-02-2022_15:39:26.316387_arch.txt,61.044988
01-02-2022_15:40:52.365229,hpcg_cpu,64x_60s_mpi_n4_ppn1_ont32,mpiexec.hydra -n 4 -ppn 1 env OMP_NUM_THREADS=32 KMP_AFFINITY=granularity=fine;compact;1;0 /opt/intel/oneapi/mkl/2022.0.2/benchmarks/hpcg/bin/xhpcg_avx2,0.0014564990997314, hpcg_cpu01-02-2022_15:40:52.365229_out.txt,hpcg_cpu01-02-2022_15:40:52.365229_arch.txt,60.963301
01-02-2022_15:53:23.345478,hpcg_cpu,128x_60s_mpi_n64_ppn1_ont2,mpiexec.hydra -n 64 -ppn 1 env OMP_NUM_THREADS=2 KMP_AFFINITY=granularity=fine;compact;1;0 /opt/intel/oneapi/mkl/2022.0.2/benchmarks/hpcg/bin/xhpcg_avx2,0.0015082359313964, hpcg_cpu01-02-2022_15:53:23.345478_out.txt,hpcg_cpu01-02-2022_15:53:23.345478_arch.txt,55.63189
01-02-2022_15:58:27.047807,hpcg_cpu,128x_60s_mpi_n128_ppn1_ont1,mpiexec.hydra -n 128 -ppn 1 env OMP_NUM_THREADS=1 KMP_AFFINITY=granularity=fine;compact;1;0 /opt/intel/oneapi/mkl/2022.0.2/benchmarks/hpcg/bin/xhpcg_avx2,0.0015099048614501, hpcg_cpu01-02-2022_15:58:27.047807_out.txt,hpcg_cpu01-02-2022_15:58:27.047807_arch.txt,56.548284
01-02-2022_16:08:57.130500,hpcg_cpu,128x_60s_mpi_n32_ppn1_ont4,mpiexec.hydra -n 32 -ppn 1 env OMP_NUM_THREADS=4 KMP_AFFINITY=granularity=fine;compact;1;0 /opt/intel/oneapi/mkl/2022.0.2/benchmarks/hpcg/bin/xhpcg_avx2,0.0014798641204833, hpcg_cpu01-02-2022_16:08:57.130500_out.txt,hpcg_cpu01-02-2022_16:08:57.130500_arch.txt,56.619193
01-02-2022_16:12:11.793562,hpcg_cpu,128x_60s_mpi_n16_ppn1_ont8,mpiexec.hydra -n 16 -ppn 1 env OMP_NUM_THREADS=8 KMP_AFFINITY=granularity=fine;compact;1;0 /opt/intel/oneapi/mkl/2022.0.2/benchmarks/hpcg/bin/xhpcg_avx2,0.0014646053314208, hpcg_cpu01-02-2022_16:12:11.793562_out.txt,hpcg_cpu01-02-2022_16:12:11.793562_arch.txt,58.554685
01-02-2022_16:14:41.841366,hpcg_cpu,128x_60s_mpi_n8_ppn1_ont16,mpiexec.hydra -n 8 -ppn 1 env OMP_NUM_THREADS=16 KMP_AFFINITY=granularity=fine;compact;1;0 /opt/intel/oneapi/mkl/2022.0.2/benchmarks/hpcg/bin/xhpcg_avx2,0.0014882087707519, hpcg_cpu01-02-2022_16:14:41.841366_out.txt,hpcg_cpu01-02-2022_16:14:41.841366_arch.txt,59.377144
01-02-2022_16:18:42.964326,hpcg_cpu,128x_60s_mpi_n4_ppn1_ont32,mpiexec.hydra -n 4 -ppn 1 env OMP_NUM_THREADS=32 KMP_AFFINITY=granularity=fine;compact;1;0 /opt/intel/oneapi/mkl/2022.0.2/benchmarks/hpcg/bin/xhpcg_avx2,0.0014853477478027, hpcg_cpu01-02-2022_16:18:42.964326_out.txt,hpcg_cpu01-02-2022_16:18:42.964326_arch.txt,59.499023
01-02-2022_16:21:50.282306,hpcg_cpu,16x_60s_mpi_n4_ppn1_ont32,mpiexec.hydra -n 4 -ppn 1 env OMP_NUM_THREADS=32 KMP_AFFINITY=granularity=fine;compact;1;0 /opt/intel/oneapi/mkl/2022.0.2/benchmarks/hpcg/bin/xhpcg_avx2,0.0014598369598388, hpcg_cpu01-02-2022_16:21:50.282306_out.txt,hpcg_cpu01-02-2022_16:21:50.282306_arch.txt,15.11583
01-02-2022_16:28:28.136321,hpcg_cpu,256x_60s_mpi_n64_ppn1_ont2,mpiexec.hydra -n 64 -ppn 1 env OMP_NUM_THREADS=2 KMP_AFFINITY=granularity=fine;compact;1;0 /opt/intel/oneapi/mkl/2022.0.2/benchmarks/hpcg/bin/xhpcg_avx2,0.0014641284942626, hpcg_cpu01-02-2022_16:28:28.136321_out.txt,hpcg_cpu01-02-2022_16:28:28.136321_arch.txt,56.825302
01-02-2022_17:00:25.403688,hpcg_cpu,256x_60s_mpi_n32_ppn1_ont4,mpiexec.hydra -n 32 -ppn 1 env OMP_NUM_THREADS=4 KMP_AFFINITY=granularity=fine;compact;1;0 /opt/intel/oneapi/mkl/2022.0.2/benchmarks/hpcg/bin/xhpcg_avx2,0.0015504360198974, hpcg_cpu01-02-2022_17:00:25.403688_out.txt,hpcg_cpu01-02-2022_17:00:25.403688_arch.txt,57.231744
01-02-2022_17:15:43.217401,hpcg_cpu,256x_60s_mpi_n16_ppn1_ont8,mpiexec.hydra -n 16 -ppn 1 env OMP_NUM_THREADS=8 KMP_AFFINITY=granularity=fine;compact;1;0 /opt/intel/oneapi/mkl/2022.0.2/benchmarks/hpcg/bin/xhpcg_avx2,0.0014984607696533, hpcg_cpu01-02-2022_17:15:43.217401_out.txt,hpcg_cpu01-02-2022_17:15:43.217401_arch.txt,57.711146
01-02-2022_17:41:40.114716,hpcg_cpu,256x_60s_mpi_n8_ppn1_ont16,mpiexec.hydra -n 8 -ppn 1 env OMP_NUM_THREADS=16 KMP_AFFINITY=granularity=fine;compact;1;0 /opt/intel/oneapi/mkl/2022.0.2/benchmarks/hpcg/bin/xhpcg_avx2,0.0015146732330322, hpcg_cpu01-02-2022_17:41:40.114716_out.txt,hpcg_cpu01-02-2022_17:41:40.114716_arch.txt,58.749209
01-02-2022_17:47:54.360979,hpcg_cpu,256x_60s_mpi_n4_ppn1_ont32,mpiexec.hydra -n 4 -ppn 1 env OMP_NUM_THREADS=32 KMP_AFFINITY=granularity=fine;compact;1;0 /opt/intel/oneapi/mkl/2022.0.2/benchmarks/hpcg/bin/xhpcg_avx2,0.0014188289642333, hpcg_cpu01-02-2022_17:47:54.360979_out.txt,hpcg_cpu01-02-2022_17:47:54.360979_arch.txt,58.007545
