Running for 7200.0 seconds (7200 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
12:28:15  47.9   0.0   1.2  50.9   0.0   65   1524  16962    0    0    0 503.51 
12:28:16  29.3   0.0   0.6  70.0   0.0   33   1298  10815    0    0    0 435.75 
12:28:17  34.0   0.0   1.0  65.1   0.0   65   1432  12529    0    0    2 453.86 
12:28:18  47.0   0.0   1.8  51.2   0.0   64   1298  16716    0    0    0 517.39 
12:28:19  29.1   0.0   1.3  69.6   0.0   33   1573  10953    0    0    0 436.50 
12:28:20  31.8   0.0   1.0  67.2   0.0   65   1261  11797    0    0    0 439.10 
12:28:21  44.7   0.0   1.3  54.0   0.0   33   1254  15855    0    0    0 499.36 
12:28:22  24.2   0.0   0.8  75.0   0.0   33   1220   9265    0    0    0 412.23 
12:28:23  42.4   0.0   1.2  56.5   0.0   65   1537  15358    0    0    0 491.00 
12:28:24  43.7   0.0   1.2  55.1   0.0   33   2269  16284    2    0    0 500.29 
12:28:25  23.8   0.0   1.2  75.0   0.0   33   1254   9235    0    0    0 413.54 
12:28:26  41.2   0.0   1.3  57.4   0.0   65   1323  14809    0    0    0 481.04 
12:28:27  34.9   0.0   1.2  63.9   0.0   33   1519  12766    0    0    0 458.56 
12:28:28  27.3   0.0   0.7  72.0   0.0   65   1333  10169    0    0    0 424.05 
12:28:29  47.7   0.0   1.3  51.0   0.0   65   1364  16871    0    0    0 516.96 
12:28:30  35.2   0.0   1.2  63.6   0.0   33   5159  14071    4    4    4 464.59 
12:28:31  26.2   0.0   1.0  72.9   0.0   65   1545   9912    0    0    0 418.53 
12:28:32  48.6   0.0   1.5  50.0   0.0   65   1276  17254    0    0    0 515.31 
12:28:33  25.3   0.0   0.8  73.9   0.0   33   1261   9557    0    0    1 418.27 
12:28:34  37.3   0.0   0.9  61.8   0.0   65   1539  13617    0    0    0 467.42 
12:28:35  47.5   0.0   1.2  51.3   0.0   65   1570  16758    0    0    0 516.59 
12:28:36  26.4   0.0   0.9  72.7   0.0   33   1308  10009    0    0    0 423.13 
12:28:37  36.1   0.0   0.7  63.1   0.0   65   1249  13046    0    0    0 454.58 
12:28:38  41.4   0.0   1.3  57.3   0.0   33   1271  14762    0    0    0 484.59 
12:28:39  24.4   0.0   0.6  75.0   0.0   33   1634   9351    0    0    1 412.71 
12:28:40  45.5   0.0   1.6  52.8   0.0   65   1262  16381    0    0    0 508.36 
12:28:41  41.1   0.0   1.3  57.6   0.0   33   1336  14663    0    0    0 488.51 
12:28:42  24.4   0.0   0.7  75.0   0.0   33   1226   9302    0    0    0 412.81 
12:28:43  43.8   0.0   1.4  54.8   0.0   65   1505  15687    0    0    0 492.31 
12:28:44  32.6   0.0   0.8  66.6   0.0   33   1362  11935    0    0    0 447.99 
12:28:45  30.3   0.0   1.0  68.7   0.0   65   1236  11262    0    0    0 439.92 
12:28:46  47.3   0.0   1.6  51.1   0.0   65   1323  16787    0    0    0 517.79 
12:28:47  32.4   0.0   1.2  66.3   0.0   33   1570  12026    0    0    0 450.03 
12:28:48  29.3   0.0   0.9  69.8   0.0   65   1264  10881    0    0    0 428.74 
12:28:49  47.1   0.0   1.2  51.7   0.0   33   1270  16739    0    0    0 509.71 
12:28:50  24.2   0.0   0.8  75.0   0.0   33   1429   9454    0    0    0 412.90 
12:28:51  40.6   0.0   1.0  58.5   0.0   65   1530  14548    0    0    0 482.53 
12:28:52  45.8   0.0   1.3  53.0   0.0   33   1352  16122    0    0    0 510.13 
12:28:53  24.2   0.0   0.8  75.0   0.0   33   1234   9252    0    0    0 413.83 
12:28:54  39.5   0.0   1.1  59.4   0.0   65   1349  14254    0    0    0 471.99 
12:28:55  37.3   0.0   1.0  61.7   0.0   33   1573  13492    0    0    0 468.09 
12:28:56  25.2   0.0   0.9  73.9   0.0   64   1245   9490    0    0    0 417.52 
12:28:57  48.0   0.0   1.1  50.9   0.0   65   1313  16773    0    0    0 516.43 
12:28:58  37.3   0.0   1.1  61.6   0.0   33   1274  13519    0    0    0 471.29 
12:28:59  25.0   0.0   0.8  74.3   0.0   55   1502   9567    0    0    0 414.66 
12:29:00  48.7   0.0   1.1  50.3   0.0   65   1294  17079    0    0    0 508.15 
12:29:01  27.8   0.0   0.6  71.6   0.0   33   1316  10375    0    0    0 428.51 
12:29:02  35.6   0.0   0.7  63.6   0.0   65   1274  12869    0    0    0 459.25 
12:29:03  47.5   0.0   1.3  51.2   0.0   65   1535  16757    0    0    0 517.27 
12:29:04  27.3   0.0   1.0  71.7   0.0   33   1352  10332    0    0    0 427.82 
12:29:05  34.5   0.0   0.6  64.8   0.0   65   1239  12466    0    0    0 448.09 
12:29:06  42.3   0.0   1.0  56.6   0.0   33   1254  14966    0    0    0 488.89 
